regime,arm,estimator,snr0,hyperparameter,selection_error
oracle_known,TOTAL_FLUX,TSVD,100.0,0.001,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,0.00031622776601683794,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,0.0001,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,3.1622776601683795e-05,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-05,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,3.162277660168379e-06,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-06,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,3.162277660168379e-07,24234928695896.348
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-07,24234928695896.348
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,1392830205143.3423
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.31622776601683794,2498111941985.553
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.1,3943422160635.264
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.03162277660168379,5596503941740.796
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.01,7106947005204.278
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.0031622776601683794,8479227880213.356
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.001,10027769608912.943
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.00031622776601683794,11673661229654.604
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.0001,13016565889032.812
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,14991034001005.406
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-05,18084235325816.363
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-06,21159876649912.035
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-06,23038232948548.48
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-07,23826451158720.45
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-07,24102423456631.84
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-08,24192682167977.887
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-08,24221534318884.004
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,24230689524543.637
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-09,24233587802077.7
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,24234504633014.098
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-10,24234794591935.5
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1.0,1531084383346.3928
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.31622776601683794,6519227080106.745
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.1,28627205493872.566
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.03162277660168379,29217106228311.723
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.01,50538999794959.98
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.0031622776601683794,59091969229448.68
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.001,554488069112773.7
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,320653810881634.2
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.0001,576157659216577.4
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,2802791240391720.5
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-05,2960171157159317.0
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-06,9279126358114646.0
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-06,2.967172385630107e+16
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-07,3.4335283201589756e+16
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-07,2.156941740896081e+17
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,2569200404689.8877
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,5422841403698.059
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,9949762203936.451
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,16061654348855.47
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,21533825079869.168
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,24841335673563.125
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,26552007547644.754
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,27852874148770.89
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,30645183085111.01
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,37372310102092.305
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,50985155052031.27
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,83105804540321.11
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,144679919014041.88
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,234974260525734.25
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,349074196826949.94
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,550766087665531.44
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,951697282715796.6
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,1592648311820822.0
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,2203970778352963.2
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,2580683281955400.0
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,3067231229392100.0
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1.0,1561242866832.8884
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,6768722354192.013
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.1,61016619252051.54
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.03162277660168379,125982980550458.02
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.01,120081605562872.73
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,230709247382590.25
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.001,400025343428505.5
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,801531065161872.0
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.0001,2093122765019764.0
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,3995635687426381.5
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-05,7837772456930413.0
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-06,2.3940766816126244e+16
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-06,4.7689913898401304e+16
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-07,1.8917921800178726e+17
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-07,2.4503306911528618e+17
