class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized,n_stable_multi_states
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,1,0.1,0.7480681193494142,0.7478633470228356,0.7478633470228356,0.7480681193494142,0.5409836065573771,0.7478633470228356,0.5409836065573771,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,2,0.1,0.9018927131306809,0.9018927131306809,0.9018927131306809,0.9018927131306809,0.8032786885245902,0.9018927131306809,0.8032786885245902,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,3,0.1,0.972840489885318,0.972840489885318,0.972840489885318,0.972840489885318,0.9057377049180327,0.972840489885318,0.9057377049180327,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,4,0.1,0.8435058317981077,0.8392120706307592,0.8392120706307592,0.8435058317981077,0.6885245901639344,0.8392120706307592,0.6885245901639344,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,5,0.1,0.779745340691709,0.779745340691709,0.779745340691709,0.779745340691709,0.7049180327868853,0.779745340691709,0.7049180327868853,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,0,0.1,0.8277709502484746,0.824104021218243,0.824104021218243,0.8277709502484746,0.7213114754098361,0.824104021218243,0.7213114754098361,1.6620030168960473,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,1,0.1,0.508734772076211,0.5119882589756375,0.4149728239757856,0.508734772076211,0.16393442622950818,0.5119882589756375,0.16393442622950818,1.3577461228334367,132
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,2,0.1,0.7833657382657225,0.7764134145023184,0.7764134145023184,0.7833657382657225,0.6065573770491803,0.7764134145023184,0.6065573770491803,1.6316454374811906,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,3,0.1,0.8374518716571616,0.8370781333353685,0.8370781333353685,0.8374518716571616,0.6885245901639344,0.8370781333353685,0.6885245901639344,1.6749037433143232,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,4,0.1,0.4911187455623756,0.4743234615895125,0.3269822965570908,0.4911187455623756,0.01639344262295082,0.4743234615895125,0.01639344262295082,1.3479848027468708,92
