class,arm,estimator,snr0,family,n_truths,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_ci_high,PHYSICAL_END_TO_END_improves,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_ci_high,CLASS_CONDITIONAL_improves
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,m2_structural_mode,6,0.13211902356243777,0.09131310138794145,0.18106334951561703,True,0.16776828555247963,0.09293939231296428,0.27391750898587963,True
L448_contrast,TOTAL_FLUX,TSVD,100.0,m2_structural_mode,6,0.02202919591822719,-0.01184666093731511,0.09339737631932554,False,0.025125413015264803,-0.0007774958298096146,0.09254576656542053,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,m2_structural_mode,6,4.5879862965111905e-05,-0.0009279921156637747,0.00014893750243602955,False,2.0997754507316992e-05,-0.000901595326753783,0.00018402321511776785,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,plunging_feature,6,0.05819458327557979,0.01817485532768569,0.10170154669018659,True,0.06812577113033266,0.03848538692249495,0.1280365166559956,True
L448_contrast,TOTAL_FLUX,TSVD,100.0,plunging_feature,6,0.01956789124843044,-0.027796513390467258,0.028619634880989217,False,0.02203870088619577,-0.008452445869609882,0.04391091005558008,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,plunging_feature,6,0.0017017309731425076,-0.006248917998119384,0.009882761664001882,False,0.00024338523158048,-0.009337190961205352,0.007092768050654046,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,6,-0.02822807649032886,-0.12782348703300164,0.17323582629837503,False,-0.004510430920988311,-0.1444372163381893,0.18541112355328296,False
L448_contrast,TOTAL_FLUX,TSVD,100.0,two_hotspot_trajectories,6,0.040071092425531946,-0.17007077418711253,0.07181325755579557,False,0.042794307948483226,-0.2006124563235623,0.07344737267317913,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,two_hotspot_trajectories,6,-0.0016675678377237736,-0.029240697411427236,0.01871540337249583,False,-0.0016249632626557787,-0.02612401578888702,0.00789251832737281,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,6,0.13311263971851606,-0.059849911111504214,0.21039033331724474,False,0.1433584998279236,0.08424085779266617,0.21343481152501456,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,6,0.13077136954008295,0.04937247322243175,0.1856483698338737,True,0.0991674790156653,0.033035244929790666,0.14712579319726488,True
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,6,0.0,-0.0041815137015658406,0.0002847370549856603,False,0.0,-0.0041815137015658406,0.00031888728037186647,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,6,0.18446833428854514,0.13708899536005967,0.3004489732948483,True,0.2556408042649397,0.10985081560212709,0.3221738933688655,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,6,0.11633616795903681,-0.031295511208113067,0.5124022824525958,False,0.1719850945063937,-0.0876372428918781,0.4347549694385031,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,6,0.12148824599114817,0.001039846292099292,0.29132737775265793,True,0.10482591340466611,0.002280320896285503,0.28121409702651107,True
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,6,-0.05561803697297801,-0.13455903032135616,0.11639298456324361,False,0.08464443691212753,-0.06517308850534995,0.23213258368243953,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,6,0.0226226275905183,-0.1423110353257839,0.16019600985630333,False,-0.06113356274367483,-0.14907637165730198,0.10711140989780617,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,6,0.0,-0.0003982953602373706,0.0005989323959747506,False,-9.622785705174367e-05,-0.00043012478253212096,0.0005811143609846899,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m2_structural_mode,6,0.09556573580089102,-0.001411408948575079,0.20064675152064584,False,0.17315631950945487,0.08234678398233586,0.2089654562848573,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m2_structural_mode,6,-0.030663086104200807,-0.2029462260900733,0.044678901475975676,False,-0.04520988528159753,-0.1659067121881091,0.04295486357794934,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m2_structural_mode,6,0.00025188021806131055,0.0,0.007067428498816308,False,0.00027478456047594824,0.0,0.007284360192275661,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,plunging_feature,6,0.09989156557554742,0.05864098057066566,0.1688423341493057,True,0.07904361586613665,0.053716183610178526,0.11089666593073409,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,plunging_feature,6,-0.08070170323303996,-0.10672806236725767,-0.04134165766083031,False,-0.05407275853250491,-0.1266681730559702,0.06681124549362455,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,plunging_feature,6,0.00012841776857302567,-0.0064270590429607415,0.0030893807201918134,False,4.408897673329583e-05,-0.006295698150989934,0.0014182851034105237,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,6,-0.01762204541012818,-0.16736368030603974,0.2111888788915555,False,-0.004667989811465191,-0.16540401401329025,0.2175791587883566,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,6,-0.02871829127266295,-0.1950251012255878,0.08186790572699354,False,-0.04809083741981241,-0.17088637962206676,0.07905831936225204,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,6,3.0343616376115902e-05,-0.024691201418958097,0.0027731236303306216,False,0.0,-0.008746687872402847,9.10521912151466e-05,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,6,0.16668614092167133,-0.08809446325559325,0.19609858535414415,False,0.169967897581392,0.02896801129012856,0.20377348658339678,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,circular_hotspot_trajectory,6,0.15475134106008506,0.0970915978028217,0.19827603609932393,True,0.12593333992627337,0.05995045208963094,0.19909468688435908,True
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,circular_hotspot_trajectory,6,0.0,-0.0027047640178883554,0.0028275533718454754,False,0.0,-0.002685880244060267,0.002642868126397341,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,6,0.2674862044422721,0.050102312279601276,0.3530867382598809,True,0.22717847513573397,0.025824106077982856,0.3944270448073738,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,flare_birth_motion_decay,6,0.15911678278175934,0.09159432866354142,0.5197719572941308,True,0.20385068607360926,0.07371596477568966,0.4719523587367052,True
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,flare_birth_motion_decay,6,0.025553723305864078,0.0014194371099420142,0.19008060936855287,True,0.04933119736476148,0.00381221861788737,0.30536202154895387,True
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,6,-0.012052016386984851,-0.09179419007242401,0.11406192341566485,False,0.1295379480527086,-0.03980741678994065,0.306566320648918,False
L448_contrast,TOTAL_FLUX,TSVD,1000.0,m1_rotating_crescent,6,0.09837857448454523,-0.03241058943438833,0.16544752568119542,False,0.055720182986455785,-0.04178811326714001,0.13424742954354224,False
