class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,0,0.0031622776601683794,0.8423562408232428,0.8422323948379106,0.8422323948379106,0.8423562408232428,0.6885245901639344,0.8422323948379106,0.6885245901639344,2.0003481077847725
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,1,0.0031622776601683794,0.7368805396438994,0.7368805396438994,0.35720397241026947,0.7368805396438994,0.20491803278688525,0.7368805396438994,0.20491803278688525,1.8339361622315415
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,2,0.0031622776601683794,0.3890083450124135,0.2811021652656932,0.2811021652656932,0.3890083450124135,0.0,0.2811021652656932,0.0,
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,3,0.0031622776601683794,0.45189687878819906,0.3404109905768733,0.3404109905768733,0.45189687878819906,0.0,0.3404109905768733,0.0,
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,4,0.0031622776601683794,0.8044855845544665,0.844391951454308,0.3610037939690155,0.8044855845544665,0.6721311475409836,0.844391951454308,0.6721311475409836,1.6524441173577749
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,5,0.0031622776601683794,0.8694321866776206,0.8692274143510421,0.32836600593094833,0.8694321866776206,0.610655737704918,0.8692274143510421,0.610655737704918,1.4175892683229325
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,6,0.0031622776601683794,0.7468290062607171,0.869314285551303,0.36757353770958057,0.7468290062607171,0.4426229508196721,0.869314285551303,0.4426229508196721,2.0402016620023047
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,7,0.0031622776601683794,0.8023961812561569,0.8029725166203276,0.8029725166203276,0.8023961812561569,0.6557377049180327,0.8029725166203276,0.6557377049180327,1.7026557510132776
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,8,0.0031622776601683794,0.7580257988774659,0.7581480585150099,0.7581480585150099,0.7580257988774659,0.5163934426229508,0.7581480585150099,0.5163934426229508,1.8385209471987072
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,9,0.0031622776601683794,0.5497463578129019,0.4089747738456878,0.4089747738456878,0.5497463578129019,0.0,0.4089747738456878,0.0,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,0,0.03162277660168379,0.7200754946697538,0.7200754946697538,0.7200754946697538,0.7200754946697538,0.7049180327868853,0.7200754946697538,0.7049180327868853,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,1,0.03162277660168379,0.6269857770276422,0.6269857770276422,0.6269857770276422,0.6269857770276422,0.5245901639344263,0.6269857770276422,0.5245901639344263,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,2,0.03162277660168379,0.64093751970407,0.64093751970407,0.64093751970407,0.64093751970407,0.5245901639344263,0.64093751970407,0.5245901639344263,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,3,0.03162277660168379,0.7126411210194932,0.7223796131882912,0.7223796131882912,0.7126411210194932,0.6721311475409836,0.7223796131882912,0.6721311475409836,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,4,0.03162277660168379,0.8604527020324029,0.8604527020324029,0.8604527020324029,0.8604527020324029,0.7049180327868853,0.8604527020324029,0.7049180327868853,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,5,0.03162277660168379,0.6680713584456872,0.6659441033979437,0.6659441033979437,0.6680713584456872,0.6065573770491803,0.6659441033979437,0.6065573770491803,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,6,0.03162277660168379,0.8982961195019283,0.8982961195019283,0.8982961195019283,0.8982961195019283,0.639344262295082,0.8982961195019283,0.639344262295082,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,7,0.03162277660168379,0.7626543728128232,0.7626543728128232,0.7626543728128232,0.7626543728128232,0.5122950819672131,0.7626543728128232,0.5122950819672131,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,8,0.03162277660168379,0.8596019279807285,0.8596019279807285,0.8596019279807285,0.8596019279807285,0.5122950819672132,0.8596019279807285,0.5122950819672132,
