source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.8711927766171903,2.8908317990964885,0.0020979080204036253,-0.008902367992403171,0.01169567394471993,0.01239647093649291,-0.001076325369724742,0.028157323226620512,1,False,64,8,False,False,False,False,True,,False,False
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.8711927766171903,2.7746322642399344,0.03978174212919244,-0.059493607603435854,0.10112080373235934,-0.12345872579644103,-0.22799908797979476,-0.02872560280825253,2,True,64,8,False,False,True,True,False,,True,True
L448,RESOLVED_PHYSICAL,TSVD,100.0,physical_banks_only,MULTI,2,2.8755041416951097,2.672094127344327,0.10042115245393268,-0.09488091547426969,0.20822651111367932,-0.29886106032736803,-0.5599755699289718,-0.08099319404051647,2,True,64,8,False,False,True,True,False,,True,True
L448,TOTAL_FLUX,TSVD,100.0,physical_banks_only,MULTI,2,2.8755041416951097,2.8913294942409915,0.0021002937319823055,-0.0051658697811395905,0.009761906500697654,0.002466627580855041,-0.004032797985866794,0.009486389376685398,1,False,64,8,False,False,False,False,True,,False,False
L448,UNRESOLVED_IMAGE,TSVD,100.0,physical_banks_only,MULTI,2,2.8755041416951097,3.160750911341164,-0.0626273356364084,-0.24526023845995312,0.004243688847506184,-0.39345359859499435,-0.5946633636835513,-0.21910023307767704,1,False,64,8,False,False,False,True,False,,False,False
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,20.658051224161035,14.776490805240847,0.3986607228332125,0.22478364373323775,0.4250666978149908,0.3399410504744853,0.2767888678574702,0.4014843838441964,4,True,32,4,True,True,True,True,True,True,,
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,20.658051224161035,20.947292584828787,-0.014275052273246661,-0.02349370047747408,-0.005522234720646972,-0.018417638383559958,-0.02484638392226101,-0.01231471369359504,1,False,32,4,False,False,False,False,True,False,,
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,constant_flux_structural,1,20.658051224161035,18.241606551662287,0.15462074874355444,0.05677633584299329,0.19283918181663168,0.14716969341864117,0.10806551678188753,0.18736261774792182,4,True,32,4,True,True,True,True,True,True,,
L1056,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,constant_flux_structural,1,20.637459687165794,15.342020625497526,0.358040849109551,0.2132306139063035,0.38320399599520955,0.3124359137330414,0.24942944890861854,0.37387714933797445,4,True,32,4,True,True,True,True,True,True,,
L1056,TOTAL_FLUX,TSVD,100.0,single_bank,constant_flux_structural,1,20.637459687165794,20.947322588140494,-0.014433591223910122,-0.02587559029271222,-0.005091334708595418,-0.01979689577462117,-0.026841174280697055,-0.013154547688363398,1,False,32,4,False,False,False,False,True,False,,
L1056,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,constant_flux_structural,1,20.637459687165794,18.631648786889315,0.1186748383243798,0.04098589197824232,0.1636496658105065,0.12526529233009892,0.08763590056927258,0.1642416800329126,4,True,32,4,True,True,True,True,True,True,,
