family,split,regime,generative_radial_cells,generative_azimuthal_cells,generative_ages_scored,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale
m1_rotating_crescent,pilot,estimated_from_data,0.10690049187686178,0.0006635182636113825,61,6,5371203514478396086,0.1281829493853951,0.4906237938183808,0.21983165619516376,0.2354099718633511,5.558968872169729e-18,5.659535340374333e-17,1.0
m1_rotating_crescent,pilot,estimated_from_data,0.1074702229321554,0.000670803391685177,61,7,993647281167207788,0.24426670416384566,0.7324497456000623,0.16480224370226593,0.26638896192579997,8.113062462861896e-18,8.760353553682876e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.022074462264450635,0.0024945091441943745,61,0,3934404567546129707,0.04044406966918717,0.6828994210215175,0.09762894627614757,0.26932370580434545,7.636928451938839e-19,1.5612511283791264e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.1420799923567671,0.002495182891085993,61,1,1565521707822226740,0.058682505465866265,0.6546181781495428,0.15205297315451288,0.3903761741077338,1.4449759255162377e-18,1.9081958235744878e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.06794882895619622,0.002892336978043616,61,2,15699672821206607,0.39292528049694625,0.7862353615256548,0.1982349707835005,0.28108427166095135,1.4950037740213243e-17,7.979727989493313e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.10563340944196137,0.0024987846038648284,61,3,1124794587214090606,0.03738517169057448,0.49934271367972405,0.16691128181744097,0.33308518785847585,5.503694802482557e-19,1.214306433183765e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.07398410701478858,0.0025602882485591624,61,4,7260223390022259413,0.1252861484988913,0.3478232190436908,0.29805262331749877,0.2980526233440377,2.6783718425753254e-18,1.951563910473908e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.20859156404103674,0.0024931126032475895,61,5,4247044136887848609,0.026715162432363822,0.396369477889834,0.13112229054178032,0.18382550877534493,3.9616326512178037e-19,1.0083080204115191e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.10572991401754571,0.0025124559610476245,61,6,3358690601352104212,0.11915612395824085,0.7167251706600903,0.12303027228478519,0.2801860436260103,5.065892299291157e-18,2.949029909160572e-17,1.0
m2_structural_mode,selection,estimated_from_data,0.1045979230337672,0.0025213330544280373,61,7,2942856751887435248,0.13427672205389612,0.6493026183111618,0.16038019681335103,0.2566972305095874,4.2937046701133975e-18,2.6020852139652106e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.04455942969437018,0.0024946323791455536,61,0,2928569987613736805,0.0426498582631979,0.7043764748573712,0.07857497871194258,0.23130441984249833,1.2387787060229958e-18,1.3877787807814457e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.0780919077133091,0.0028418997087616086,61,1,6673327007182613005,0.21095034779167335,0.44582645030173873,0.3235348171855927,0.32353481718566957,7.752318505297012e-18,7.45931094670027e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.12102449348150773,0.0024955408869386593,61,2,7863972111060403277,0.023240116067207894,0.30521138321877384,0.1524799601631433,0.2021356336972728,3.9699758017658295e-19,5.421010862427522e-18,1.0
m2_structural_mode,pilot,estimated_from_data,0.0642161936680434,0.0025208317692142373,61,3,7169522685992022104,0.08811157583321105,0.7066276240555458,0.12237231404436377,0.2461776725277359,2.7295644221596533e-18,2.7755575615628914e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.07553580122237848,0.0025381105074004044,61,4,4744431246776263926,0.1477624169212305,0.4294384538791906,0.2543801399341603,0.2544143792997515,3.461314112170993e-18,2.5045070184415152e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.02637556959442598,0.0025200284493497936,61,5,560616036681957018,0.08971072239004392,0.6094232515012374,0.20130369839605727,0.2614135292275012,2.462360780017788e-18,3.382710778154774e-17,1.0
m2_structural_mode,pilot,estimated_from_data,0.1277062573711535,0.0024939550971960424,61,6,3891636778427223547,0.03840913015171853,0.4688579523875299,0.16276519010139356,0.2428240807212801,9.563349131864382e-19,9.540979117872439e-18,1.0
m2_structural_mode,pilot,estimated_from_data,0.046257866111664,0.0025001718014377662,61,7,1027125781201881479,0.0426796026835537,0.4273153489595973,0.1685580242289765,0.26134092026352207,6.983776350743728e-19,1.3769367590565906e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.09748317359447398,0.04795574599469641,32,0,7527734642150861960,0.012732710552079184,0.6776134760821326,0.22757720062851228,0.2275772094412652,5.522654880733356e-19,1.0408340855860843e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.08350402775418199,0.020446907313597804,29,1,2321986535141221446,0.011163470425333484,0.5657182055217331,0.24065560393354726,0.2605353614566975,1.0367683274392636e-18,1.452830911130576e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.11429551945369229,0.05222454506648969,27,2,3360110614620611310,0.005867322655130604,0.32390537135281783,0.20867421161741226,0.20867421161741226,4.2182240773264157e-19,7.914675859144182e-18,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.19139138286949914,0.069863423652768,32,3,2134920110334127225,0.02319929091004677,0.684522563696478,0.27022877048341154,0.27022877048341154,1.0856183058709e-18,2.211772431870429e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.05954182021064726,0.04669410681487088,22,4,8368217642465560532,0.008412672675126248,0.3825143577201406,0.18932797082191544,0.18932797082191544,9.34118522143883e-19,1.1709383462843448e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.04637880988979663,0.1987011569801474,28,5,8833519782984920928,0.06512194473528851,0.7949349284767756,0.31734430708100725,0.31734430708100725,7.453890969813609e-18,1.1709383462843448e-16,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.07273387766515954,0.5374003595938194,19,6,6541007583280234395,0.04652196388391277,0.5592443737308559,0.24494232103804853,0.24494232103804853,1.0288485693824359e-17,9.606031248221569e-17,1.0
flare_birth_motion_decay,selection,estimated_from_data,0.19869907906432127,0.04647883407377204,29,7,4984833678507065436,0.012275915419107362,0.5530191507281449,0.2772284619751564,0.2772284619751564,1.9200119331886853e-18,2.992397996059992e-17,1.0
flare_birth_motion_decay,pilot,estimated_from_data,0.2265078614246415,0.017998970726763906,23,0,1029801552226574087,0.007037939574279633,0.7329376349977867,0.17505966772887677,0.21744945556599043,8.402566836762659e-19,1.2685165418080402e-17,1.0
