arm,estimator,snr0,regime,draw,error_data_supported,error_weak,error_total,n_data_directions,n_weak_directions,note,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_off_grid,1,1.5172476549922367,18.39988847093869,18.469158757524944,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_off_grid,2,1.545905682438326,18.72216637504679,18.791599200613728,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_off_grid,3,1.5382584589201462,18.932581477307682,19.002655455536818,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_ood,0,1.5412020928236425,19.54094306734494,19.6089574176978,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_ood,1,1.4884489576485185,18.0337536721159,18.101277383147526,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_ood,2,1.5049107650610707,18.8309656758289,18.896663949211508,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,validation_ood,3,1.504217542220497,18.688979319209636,18.757125817133968,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_in_class,0,0.3155191169952052,0.6295755020357133,0.7106329785980966,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_in_class,1,0.3146704048851187,0.6299394539617225,0.7107894962826271,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_in_class,2,0.312522514758261,0.6284446237993812,0.7083801116925604,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_in_class,3,0.314800292034487,0.6314082591321791,0.7120188014269004,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_off_grid,0,0.26212923899059704,0.4110772351797259,0.49097415770802544,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_off_grid,1,0.26338315482438773,0.4113268026545551,0.49191806395832255,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_off_grid,2,0.26137465565354506,0.4094876288006601,0.48928690264422176,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_off_grid,3,0.2641367757711408,0.41283100131326245,0.4935680933094474,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_ood,0,0.22209570192180178,0.3276848052750445,0.39822411472301394,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_ood,1,0.22255020089769229,0.3240215498609475,0.3953881504509431,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_ood,2,0.21824945722345757,0.31907338971363836,0.38861740707987913,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,validation_ood,3,0.222078216849821,0.3253625933676287,0.39643201746120665,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_in_class,0,1.713423958682586,19.596050527425792,19.678381919960152,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_in_class,1,1.6828278596644741,19.1862437020988,19.266413918134468,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_in_class,2,1.6961029550565039,19.665252608811212,19.74431497577254,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_in_class,3,1.6969704934629606,19.48517149335118,19.56639432366466,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_off_grid,0,1.5894478062041077,19.598203813289352,19.669844023811013,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_off_grid,1,1.5307280833240369,18.39404494758194,18.464641657882282,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_off_grid,2,1.558488160373809,18.7118596646445,18.78244222732661,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_off_grid,3,1.5526921698693805,18.91883515270311,18.990334789851346,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_ood,0,1.5460357292174387,19.486209450519354,19.554792440239112,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_ood,1,1.4956213495100728,18.01675773590824,18.084932253112342,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_ood,2,1.5100766293770729,18.80956673485089,18.875753829913307,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1.0,validation_ood,3,1.5100621211350564,18.654122677281908,18.7229111949058,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_in_class,0,1.1209332152891778,1.9270219144851466,2.23587951993449,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_in_class,1,1.1185967101532843,1.9270219144851466,2.2345964091317754,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_in_class,2,1.120394695930237,1.9270219144851468,2.235814864025431,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_in_class,3,1.1154825705289066,1.9270219144851466,2.232765177154051,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_off_grid,0,0.9774599430473394,1.4283080900859562,1.7345591019135989,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_off_grid,1,0.9757590473329831,1.4283080900859562,1.7333655332778988,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_off_grid,2,0.9732016573549396,1.4283080900859562,1.7322295677296673,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_off_grid,3,0.9711547190526598,1.428308090085956,1.730953633470434,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_ood,0,0.9453116231665512,1.294899385922586,1.6059296210897887,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_ood,1,0.9422184525823794,1.2948993859225864,1.6038094805276542,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_ood,2,0.9361589120055731,1.294899385922586,1.6002991026879028,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3.0,validation_ood,3,0.9369425735381135,1.294899385922586,1.6007133651508654,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_in_class,0,0.9888031981068107,1.9284082787082273,2.1727738079722005,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_in_class,1,0.9848751316629801,1.9279048392138838,2.170483227513059,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_in_class,2,0.9811879364889081,1.928545284043538,2.169014372384012,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_in_class,3,0.987745753902962,1.9293963311456075,2.1727101711123913,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_off_grid,0,0.8672263994701483,1.4323947304556546,1.677337165504411,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_off_grid,1,0.8682763785399216,1.4325293780792894,1.6779165195603478,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_off_grid,2,0.8648572245489176,1.4341222992601528,1.677642775102079,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_off_grid,3,0.8665328766015541,1.4341880929964002,1.6785589730716821,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_ood,0,0.8397016589572321,1.30028362797309,1.549579726564824,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_ood,1,0.841420235500981,1.3001097104797308,1.550334681932878,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_ood,2,0.8370141432504563,1.3018590186594654,1.5490314996501304,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3.0,validation_ood,3,0.8400348853128126,1.3017758909885488,1.550646667479808,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_in_class,0,1.2571011500019367,9.375439410551428,9.461679672221159,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_in_class,1,1.233266323043693,9.264637298605187,9.348573128175538,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_in_class,2,1.2381833826712991,9.40870480347427,9.492102730109501,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_in_class,3,1.2303021157448675,9.127872458513394,9.212371415300543,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_off_grid,0,1.1208666898167614,8.113896720972338,8.19319095678588,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_off_grid,1,1.0973437686029892,7.942733839403137,8.020090811985174,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_off_grid,2,1.0913424911353888,8.144897708442198,8.219932100512253,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_off_grid,3,1.1047951233116517,8.026827909283499,8.104327145129783,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_ood,0,1.085223243119633,7.907877595963848,7.984330195404945,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_ood,1,1.0648104396409415,7.8013365066807046,7.875530070374472,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_ood,2,1.0592444115866035,7.970172433336443,8.042449586687946,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_ood,3,1.0567550660860001,7.744898659298692,7.81844872890515,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3.0,validation_in_class,0,0.6883255562624657,0.8653858930920231,1.1109298766832512,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3.0,validation_in_class,1,0.6887629213670218,0.8673908463132465,1.1129262581359642,106,118,"a weak-subspace improvement is a prior effect, not measured recovery",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
