order,ray_index,alpha,beta,source_r_aart,source_r_kgeo,relative_difference,delay,screen_azimuth,kgeo_nmax_crossings
0,10447,7.800000000000004,21.0,27.96865395247557,27.968653952475577,2.540496718102547e-16,52.03656341267572,1.2151604424941365,0.0
0,10565,8.200000000000003,17.800000000000004,23.425842222010072,23.425842222010065,3.033157694080685e-16,48.64673194639397,1.13910130947857,0.0
0,10690,8.600000000000001,17.400000000000006,23.033943849461384,23.033943849461373,4.627145531854167e-16,48.26295359928747,1.1117569801042109,0.0
0,10724,9.0,-19.4,30.62034943466463,30.62034943466465,6.961475772275579e-16,6.2590110110884325,-1.1364290501398684,0.0
0,10970,9.800000000000004,-21.8,34.24954327980426,34.24954327980425,2.0746049953287467e-16,3.3481856831576806,-1.148323934409181,0.0
0,11043,9.800000000000004,7.399999999999999,11.709899000045224,11.70989900004522,3.033940496657384e-16,39.01261510976747,0.6467584262632899,0.0
0,11600,11.800000000000004,-21.8,34.832316143348464,34.832316143348464,0.0,3.3396318321780427,-1.0746691690065897,0.0
0,11611,11.800000000000004,-17.4,28.743117380082968,28.743117380082992,8.652156766000627e-16,8.687004719354377,-0.9748783212785954,0.0
0,11634,11.800000000000004,-8.2,16.903425027427605,16.903425027427605,0.0,20.449894750287854,-0.6073052251662505,0.0
0,11695,11.800000000000004,16.200000000000003,23.108922661412947,23.10892266141294,3.074754916838064e-16,47.293320634736006,0.9412663647957706,0.0
0,11698,11.800000000000004,17.400000000000006,24.690734894355632,24.69073489435563,1.4388853527452764e-16,48.523970445692726,0.9748783212785955,0.0
0,11743,12.200000000000003,-15.0,25.66421208737427,25.66421208737428,4.152919637710159e-16,11.664189202388116,-0.8879780158157428,0.0
0,11767,12.200000000000003,-5.399999999999999,14.288599247736947,14.288599247736943,2.486397453804428e-16,24.16195871446621,-0.4167022607393983,0.0
0,11791,12.200000000000003,4.200000000000003,11.77859257655204,11.778592576552038,1.5081231716397864e-16,35.86976423494525,0.33155416187593834,0.0
0,11815,12.200000000000003,13.800000000000004,20.361251094781817,20.361251094781814,1.7448405612516563e-16,44.92841573781618,0.8468591192802143,0.0
0,11817,12.200000000000003,14.600000000000001,21.333956094544256,21.333956094544245,4.99585777207403e-16,45.71697587889673,0.8747121563906703,0.0
0,11877,12.600000000000001,-11.799999999999999,21.711955011788497,21.7119550117885,1.6362937731178774e-16,15.711804113705512,-0.7526230189933725,0.0
0,11993,13.0,-15.799999999999999,27.08610067625202,27.086100676252034,5.246548731786077e-16,10.650544394452822,-0.8823157911918112,0.0
0,12021,13.0,-4.599999999999998,14.259703637911187,14.259703637911185,1.2457179226906133e-16,25.140531758257566,-0.34009711950976235,0.0
0,12175,13.400000000000006,6.600000000000001,14.309430527112347,14.309430527112347,0.0,38.08560480261724,0.4576596566168928,0.0
0,12359,14.200000000000003,-20.6,34.028264712082965,34.028264712082965,0.0,4.767940118289289,-0.9672739051249021,0.0
0,12477,14.600000000000001,-23.8,38.53088066941646,38.53088066941646,0.0,0.9504021682897701,-1.020549133106392,0.0
0,12527,14.600000000000001,-3.799999999999997,15.085245982340005,15.085245982340004,1.1775458229052386e-16,26.001382219418474,-0.25462466619454127,0.0
0,12621,15.0,-16.6,29.069198300536467,29.069198300536467,0.0,9.62768582984529,-0.8359878721668329,0.0
0,12629,15.0,-13.399999999999999,25.02758286640452,25.02758286640452,0.0,13.60660660584358,-0.7291196271086863,0.0
0,12691,15.0,11.399999999999999,19.8124794322768,19.812479432276806,3.586339297859634e-16,42.703521889926265,0.6498704494119475,0.0
0,12724,15.0,24.6,36.38380530753359,36.38380530753357,5.858728050193606e-16,56.59269656502045,1.0232340908548991,0.0
0,12839,15.400000000000006,20.200000000000003,30.521297128550817,30.521297128550813,1.1640113668292144e-16,51.772168780904735,0.9194213649775115,0.0
0,13286,17.0,-2.599999999999998,16.67549920113559,16.67549920113559,0.0,27.25517033935239,-0.15176515532770302,0.0
0,13295,17.0,1.0,15.88658771989891,15.886587719898912,1.1181487621632278e-16,31.648308797533446,0.058755822715722696,0.0
0,13402,17.400000000000006,-6.599999999999998,19.572924474435464,19.572924474435464,0.0,22.13853489732594,-0.3625442372645074,0.0
0,13444,17.400000000000006,10.200000000000003,20.70614201382506,20.706142013825055,1.7157777032671892e-16,41.51520819990378,0.5302157727766299,0.0
0,13626,18.200000000000003,-17.8,32.21696349433356,32.21696349433356,0.0,8.116430030019615,-0.7742875094998407,0.0
