geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,RESOLVED_PHYSICAL,26.0,0.6533702791687452,1.0190160965361747e-06,True,105.22174957239332
a050_i050,L224,localized,RESOLVED_PHYSICAL,28.0,0.6509222889962902,6.511998485704374e-07,True,105.30192920643248
a050_i050,L224,localized,RESOLVED_PHYSICAL,30.0,0.6390381877430822,3.6325206880490895e-07,True,104.29730788684213
a050_i050,L224,localized,RESOLVED_PHYSICAL,32.0,0.6129129508475233,1.6662673247928277e-07,True,102.12589989429534
a050_i050,L224,localized,RESOLVED_PHYSICAL,34.0,0.5687424016170886,7.800661635109767e-08,True,99.08884813993325
a050_i050,L224,localized,RESOLVED_PHYSICAL,36.0,0.5054127447485119,4.6785936544670963e-08,True,95.30692779293047
a050_i050,L224,localized,RESOLVED_PHYSICAL,38.0,0.42724914955394,2.3945836705627406e-08,True,90.51401995191533
a050_i050,L224,localized,RESOLVED_PHYSICAL,40.0,0.349420640278553,1.91264448947925e-08,True,84.75323411329586
a050_i050,L224,localized,RESOLVED_PHYSICAL,42.0,0.28221258783348324,2.6673665077907526e-08,True,78.74421433605136
a050_i050,L224,localized,RESOLVED_PHYSICAL,44.0,0.2281846260522251,4.517496232438212e-08,True,73.79587102130543
a050_i050,L224,localized,RESOLVED_PHYSICAL,46.0,0.18528382580259128,6.888437985944068e-08,True,70.58238291799466
a050_i050,L224,localized,RESOLVED_PHYSICAL,48.0,0.14865464789905203,1.0480896404144708e-07,True,67.738935189311
a050_i050,L224,localized,RESOLVED_PHYSICAL,50.0,0.11648663774028578,1.5594992889995127e-07,True,64.13921483134536
a050_i050,L224,localized,RESOLVED_PHYSICAL,52.0,0.0869822290509,2.2482030949902775e-07,True,59.35185935193655
a050_i050,L224,localized,RESOLVED_PHYSICAL,54.0,0.05915827238395911,3.0692919782221256e-07,True,53.429228645814575
a050_i050,L224,localized,RESOLVED_PHYSICAL,56.0,0.03482196860357268,3.742041572511127e-07,True,46.684001832634216
a050_i050,L224,localized,RESOLVED_PHYSICAL,58.0,0.01631237051577495,3.74612162658366e-07,True,39.643563937638184
a050_i050,L224,localized,RESOLVED_PHYSICAL,60.0,0.0061245303125427655,3.6061890852091803e-07,True,33.09328703982186
a050_i050,L224,localized,RESOLVED_PHYSICAL,62.0,0.003132675002827088,2.6118414582121063e-07,True,28.057033513216993
a050_i050,L224,localized,RESOLVED_PHYSICAL,64.0,0.0024100911615759493,2.4779589649373743e-07,True,25.12329033596677
a050_i050,L224,localized,RESOLVED_PHYSICAL,66.0,0.0020197607493512614,2.539404114838836e-07,True,22.9067978745535
a050_i050,L224,localized,RESOLVED_PHYSICAL,68.0,0.0017263133233939784,2.4268244419365203e-07,True,20.52621688825765
a050_i050,L224,localized,RESOLVED_PHYSICAL,70.0,0.0015186258021994475,1.9202202029753882e-07,True,18.061644862006244
a050_i050,L224,localized,RESOLVED_PHYSICAL,72.0,0.001355919716994087,1.3808908454113113e-07,True,15.714365122158377
a050_i050,L224,localized,RESOLVED_PHYSICAL,74.0,0.0011968220340568161,7.49316229224635e-08,True,13.657314646677564
a050_i050,L224,localized,RESOLVED_PHYSICAL,76.0,0.0010407165574875658,3.461674075185911e-08,True,11.932627014891542
a050_i050,L224,localized,RESOLVED_PHYSICAL,78.0,0.0008974344780738202,1.5469127743893688e-08,True,10.50028208626538
a050_i050,L224,localized,RESOLVED_PHYSICAL,80.0,0.0007670826195346758,6.4399322343562875e-09,True,9.27437581894769
a050_i050,L224,localized,RESOLVED_PHYSICAL,82.0,0.0006546890951900203,2.760300359943851e-09,True,8.178508957633376
a050_i050,L224,localized,RESOLVED_PHYSICAL,84.0,0.0005526774464785433,1.2811038866024e-09,True,7.225862936380364
a050_i050,L224,localized,RESOLVED_PHYSICAL,86.0,0.00045650060187363544,5.985199194117743e-10,True,6.370011968856257
a050_i050,L224,localized,RESOLVED_PHYSICAL,88.0,0.0003724394573405606,2.785648716334298e-10,True,5.5849872898521475
a050_i050,L224,localized,RESOLVED_PHYSICAL,90.0,0.00029411714283218953,1.1303852985638769e-10,True,4.838377662258806
a050_i050,L224,localized,RESOLVED_PHYSICAL,92.0,0.00020288422704903958,3.9098516684417145e-11,True,3.9524768533652113
a050_i050,L224,localized,RESOLVED_PHYSICAL,94.0,0.00010915656780423879,1.70797090440061e-11,True,2.8187216303921785
a050_i050,L224,localized,RESOLVED_PHYSICAL,96.0,4.2563945824328646e-05,8.382662447191717e-12,False,1.6440283952059374
a050_i050,L224,localized,RESOLVED_PHYSICAL,98.0,2.4893498929820683e-05,2.6814299089172955e-12,False,0.858918345851869
a050_i050,L224,localized,RESOLVED_PHYSICAL,100.0,1.6177131624118876e-05,7.014626653826619e-13,False,0.49939073816245927
a050_i050,L224,localized,RESOLVED_PHYSICAL,102.0,1.0145829810077316e-05,1.2567028405635169e-13,False,0.29791002001531636
a050_i050,L224,localized,RESOLVED_PHYSICAL,104.0,4.536564003389339e-06,1.919427778912364e-14,False,0.1681602950800133
a050_i050,L224,localized,RESOLVED_PHYSICAL,106.0,3.186588438884557e-06,4.49167021091751e-15,False,0.11066711124786299
a050_i050,L224,localized,RESOLVED_PHYSICAL,108.0,2.4656625332122744e-06,7.254674908051204e-16,False,0.08385251310507572
a050_i050,L224,localized,RESOLVED_PHYSICAL,110.0,1.6419587430209942e-06,3.6842347260907915e-17,False,0.05988202052014312
a050_i050,L224,localized,RESOLVED_PHYSICAL,112.0,1.1772798475678394e-06,1.1924302147729635e-18,False,0.03783630536214335
a050_i050,L224,localized,RESOLVED_PHYSICAL,114.0,7.125601961926084e-07,1.2460210011606776e-20,False,0.020337033930791736
a050_i050,L224,localized,RESOLVED_PHYSICAL,116.0,4.817648721576046e-07,6.484594593056522e-23,False,0.009363052061627599
a050_i050,L224,localized,RESOLVED_PHYSICAL,118.0,4.1029436660053737e-07,0.0,False,0.004978931705251971
a050_i050,L224,localized,RESOLVED_PHYSICAL,120.0,3.1378810693118823e-07,0.0,False,0.003220131593004375
a050_i050,L224,localized,UNRESOLVED_IMAGE,0.0,0.22676274294856508,1.1387118214930288e-11,True,51.542861285258105
a050_i050,L224,localized,UNRESOLVED_IMAGE,2.0,0.2503592489210601,6.962245314175374e-11,True,56.55126602067729
a050_i050,L224,localized,UNRESOLVED_IMAGE,4.0,0.27700449194159216,4.229026536222624e-10,True,61.78368480138736
a050_i050,L224,localized,UNRESOLVED_IMAGE,6.0,0.3064563085690357,2.2298979935783174e-09,True,67.37777366548038
a050_i050,L224,localized,UNRESOLVED_IMAGE,8.0,0.3396903298793045,9.682947461569291e-09,True,73.21189529388116
a050_i050,L224,localized,UNRESOLVED_IMAGE,10.0,0.37768364195434256,4.3884759479348384e-08,True,79.42970067856635
a050_i050,L224,localized,UNRESOLVED_IMAGE,12.0,0.4250383053056048,1.746914369164262e-07,True,86.16766002546765
a050_i050,L224,localized,UNRESOLVED_IMAGE,14.0,0.4866021114736131,5.623321642066252e-07,True,92.76070016272804
a050_i050,L224,localized,UNRESOLVED_IMAGE,16.0,0.5466490136269999,1.5725974737180798e-06,True,98.13062219132152
a050_i050,L224,localized,UNRESOLVED_IMAGE,18.0,0.5885377437937118,3.8035204200200514e-06,True,101.57881820572146
a050_i050,L224,localized,UNRESOLVED_IMAGE,20.0,0.6133719102046511,4.991628931220563e-06,True,103.19085267671113
a050_i050,L224,localized,UNRESOLVED_IMAGE,22.0,0.6280211224827783,2.9970696822287196e-06,True,103.67776787357117
a050_i050,L224,localized,UNRESOLVED_IMAGE,24.0,0.636005990145234,1.6941041504433837e-06,True,103.57401549179053
a050_i050,L224,localized,UNRESOLVED_IMAGE,26.0,0.6390967551855051,9.386512328460139e-07,True,102.87527469513496
a050_i050,L224,localized,UNRESOLVED_IMAGE,28.0,0.6366285438236172,5.241788535563158e-07,True,101.38227759102016
a050_i050,L224,localized,UNRESOLVED_IMAGE,30.0,0.6248527364196139,2.630798232364532e-07,True,98.90364434754186
