bank,family,split,index,truth_seed,content_hash,bank_kind,target_structure_fraction,achieved_structure_fraction,level_fraction,max_structure_fraction_positivity_ceiling,at_positivity_ceiling,within_tolerance,min_value,positive,slice_mean_max_relative_deviation,baseline,analytic_shaping_relative_error
constant_flux_structural,circular_two_hotspots,pilot,4,1817095653452344194,0087b8c991a703b8205856e9e76c1d42dfc708737ab3d1853a47a6da23844460,constant_flux,,0.8183763680045489,0.5746826257089065,0.8192997113634798,False,True,0.003222237462058642,True,2.220446049250313e-16,,2.76072798322128e-16
constant_flux_structural,circular_two_hotspots,pilot,5,6416599622380839841,7831f1b578bca2b8826f75f1366c96afdbe5d2bc54f6126bd133a4b2eb1826d2,constant_flux,,0.6962997910468852,0.7177510717428878,0.7038756165217036,False,True,0.020651653435126243,True,2.220446049250313e-16,,3.7796361903307837e-16
constant_flux_structural,circular_two_hotspots,pilot,6,621727618958270298,486df55467d873d48c030f91466e662a081b30d996a2f331629bbb2cec481847,constant_flux,,0.8982772134177698,0.43942922963135533,0.8982035606437108,False,True,4.572118680498899e-21,True,2.220446049250313e-16,,3.364825506739757e-16
constant_flux_structural,circular_two_hotspots,pilot,7,6399120628266284039,f6433e39da91a67abd826b3f804ea1bb60d7a9e5bf734d387fe48b2ac89ce5d2,constant_flux,,0.7493615246755246,0.6621610871502289,0.74924228927357,False,True,8.331528191420343e-05,True,2.220446049250313e-16,,5.712886316026328e-16
constant_flux_structural,circular_crescent,selection,0,1954942125720352865,522758578b57fff8cf0e9655a4b727c0fdefdd1b5fb3d7fe1e0eee2ac3c9b841,constant_flux,,0.5437093545696697,0.8392735774188492,0.5451824204256462,False,True,0.0038381358125051403,True,2.220446049250313e-16,,3.39336812461828e-16
constant_flux_structural,circular_crescent,selection,1,8549749663321473383,971628419ab45c940e5d240f8daf7544b1f650cda742d1c952e18a31facc7a2a,constant_flux,,0.610811200277619,0.7917762800282756,0.611729293545199,False,True,0.0023950628988561977,True,4.440892098500626e-16,,7.341504577822085e-16
constant_flux_structural,circular_crescent,selection,2,5015070971537606031,3a5c27e28a5e1a84ac2532e3075bd73e2fcd68e69cc4ace5738a7b9d2d5a88d2,constant_flux,,0.8031733374867583,0.5957454069905883,0.8116725154498856,False,True,0.029792917462066866,True,2.220446049250313e-16,,3.5232742836074084e-16
constant_flux_structural,circular_crescent,selection,3,7176549166987827261,eff0d059708f2a7d869458695a97b42b67fd0c3eb2aa5d93be54d44572fa4e0a,constant_flux,,0.655451661325054,0.7552371281036353,0.6887666385562923,False,True,0.08649037967077482,True,2.220446049250313e-16,,2.359757937288469e-16
constant_flux_structural,circular_crescent,selection,4,6268208586280328121,9933bb0eae912a3190c553f0b3ce484f407aa33ac3ea3eed7f5bd28b0bd30a8c,constant_flux,,0.6818386100846126,0.7315026382713077,0.6818386100846255,False,True,3.568560355139478e-14,True,2.220446049250313e-16,,4.635376179076097e-16
constant_flux_structural,circular_crescent,selection,5,621046253326412205,81b2a345477e3a176b5227058fef005d7653b0e5bf3af9595d72d5e2f6402416,constant_flux,,0.8133632449590618,0.5817561617633846,0.8133634213056532,False,True,6.406200714742184e-07,True,2.220446049250313e-16,,3.058608789186153e-16
constant_flux_structural,circular_crescent,selection,6,877405296530839382,2942455562389d72902b931a69343d2ad04fd3b2781ed74eca37a64f86888670,constant_flux,,0.5373441981460725,0.8433630373206751,0.5998781810255358,False,True,0.1502043372287245,True,2.220446049250313e-16,,3.1344139257495097e-16
constant_flux_structural,circular_crescent,selection,7,2074662810635904300,5c557a8d4d314aee7cfc253e4a88fc130466be9e856ad0525a95e82974d2f590,constant_flux,,0.5869726944719512,0.8096067291866696,0.5872737434762041,False,True,0.0007821804290853613,True,4.440892098500626e-16,,4.579555083538069e-16
constant_flux_structural,circular_crescent,pilot,0,4028980763446726931,7504ab5c0c19afc49296db4aa94bbb8af182d88140272b6ffb509eebc2fdfa2b,constant_flux,,0.6221784434313847,0.7828754591435978,0.6313319453494637,False,True,0.02376710037790073,True,2.220446049250313e-16,,5.456341625820383e-16
constant_flux_structural,circular_crescent,pilot,1,6865231460918570236,6a24db344065f03b0ae406d960c8d6cdd5fa41c97ae94a7079025e4f12f0590b,constant_flux,,0.5938910200938112,0.804545496694831,0.5940825069362881,False,True,0.0004979997356030262,True,4.440892098500626e-16,,5.593802958363175e-16
constant_flux_structural,circular_crescent,pilot,2,3873431572262209174,d607d5c096733efc4e37d81fb7f0bf3b8290d5a3da4772105ccdc81b94e70c64,constant_flux,,0.7577559318313767,0.6525380814744546,0.7648520127477492,False,True,0.02192794798938557,True,3.3306690738754696e-16,,3.482294546080535e-16
constant_flux_structural,circular_crescent,pilot,3,4570109103246038759,92afc56aa0dcfa605be35e3fcf56964644fa2924dfe92ae2539a53a4e7c77d8a,constant_flux,,0.8529048194560298,0.5220664411247645,0.8540913123679302,False,True,0.005106434814500245,True,2.220446049250313e-16,,3.6882531129332545e-16
constant_flux_structural,circular_crescent,pilot,4,2819274607520468097,d8b16b941bdd950f04483b4f1fbc578bb3237e0862610b9b639e304c3568c16d,constant_flux,,0.8652489758045618,0.5013424078104273,0.8658721732833053,False,True,0.0028666167086240303,True,2.220446049250313e-16,,3.486212905853536e-16
constant_flux_structural,circular_crescent,pilot,5,732451369833341440,a1517e47c499b7973ea33b182597955d2a90ac4ab71cedcbad5a59febfbfc313,constant_flux,,0.6170868688686879,0.7868950351030554,0.6171699719886942,False,True,0.00021746877910960895,True,4.440892098500626e-16,,3.0101083819169383e-16
