source_class,bank,family,index,retarded_age,oracle_floor_absolute,oracle_floor_normalized,truth_structure_norm,reachable_at_epsilon,in_old_band
L224,constant_flux_structural,circular_single_hotspot,0,114.0,5.647814943921781,0.3586906734345121,15.745642031456192,False,True
L224,constant_flux_structural,circular_single_hotspot,0,116.0,5.66437203579103,0.3580631702595095,15.819476858470882,False,True
L224,constant_flux_structural,circular_single_hotspot,0,118.0,5.637139977286788,0.35777257559866804,15.756210402247987,False,True
L224,constant_flux_structural,circular_single_hotspot,0,120.0,5.6589149048542495,0.35771797204311906,15.819487269630748,False,True
L224,constant_flux_structural,circular_single_hotspot,1,0.0,4.264358744667522,0.3216248596890416,13.258797061864113,False,False
L224,constant_flux_structural,circular_single_hotspot,1,2.0,4.238725711115813,0.3210467751104078,13.202829119395819,False,False
L224,constant_flux_structural,circular_single_hotspot,1,4.0,4.258092312502771,0.32084339024700426,13.271560025670588,False,False
L224,constant_flux_structural,circular_single_hotspot,1,6.0,4.220182930076254,0.319459987834882,13.210364649038686,False,False
L224,constant_flux_structural,circular_single_hotspot,1,8.0,4.2105655957491335,0.31687523622171376,13.287771067105577,False,False
L224,constant_flux_structural,circular_single_hotspot,1,10.0,4.123546750759777,0.3118909726420857,13.221116070877125,False,False
L224,constant_flux_structural,circular_single_hotspot,1,12.0,4.070381928336146,0.3059729966626653,13.303075672470976,False,False
L224,constant_flux_structural,circular_single_hotspot,1,14.0,3.941361394170911,0.2980934710553023,13.221897749782348,False,False
L224,constant_flux_structural,circular_single_hotspot,1,16.0,3.908160385888196,0.2937955505054954,13.302313051249204,False,False
L224,constant_flux_structural,circular_single_hotspot,1,18.0,3.9048378725330175,0.29562622924441545,13.208698979496193,False,False
L224,constant_flux_structural,circular_single_hotspot,1,20.0,3.972161535979947,0.2988544044599084,13.291293274256615,False,False
L224,constant_flux_structural,circular_single_hotspot,1,22.0,3.9911594613875745,0.30251948191387223,13.193065901533785,False,False
L224,constant_flux_structural,circular_single_hotspot,1,24.0,4.046017126221964,0.304614562003758,13.282415323834876,False,False
L224,constant_flux_structural,circular_single_hotspot,1,26.0,4.007014153557178,0.30399486605387355,13.181190214071119,False,False
L224,constant_flux_structural,circular_single_hotspot,1,28.0,4.007523633023554,0.3018413211403024,13.27692185378678,False,False
L224,constant_flux_structural,circular_single_hotspot,1,30.0,3.9196174647466338,0.2975455514500028,13.173167757492942,False,False
L224,constant_flux_structural,circular_single_hotspot,1,32.0,3.8962200999853303,0.29350527395853127,13.274787357094711,False,False
L224,constant_flux_structural,circular_single_hotspot,1,34.0,3.8264493451026804,0.29056508384208407,13.168992277070268,False,False
L224,constant_flux_structural,circular_single_hotspot,1,36.0,3.840837391686153,0.2893069823999926,13.275992718267181,False,False
L224,constant_flux_structural,circular_single_hotspot,1,38.0,3.8302049951156127,0.29085748268795864,13.168665834960764,False,False
L224,constant_flux_structural,circular_single_hotspot,1,40.0,3.8931106581513903,0.2931442408401357,13.280529226820025,False,False
L224,constant_flux_structural,circular_single_hotspot,1,42.0,3.893755735573335,0.29560407989129533,13.172198898625535,False,False
L224,constant_flux_structural,circular_single_hotspot,1,44.0,3.9503589729818076,0.2972787832058809,13.288398621592782,False,False
L224,constant_flux_structural,circular_single_hotspot,1,46.0,3.916498508936502,0.2971634538554035,13.179610272137394,False,False
L224,constant_flux_structural,circular_single_hotspot,1,48.0,3.9369098422682214,0.29601687191195536,13.299613014758094,False,False
L224,constant_flux_structural,circular_single_hotspot,1,50.0,3.8717577857534176,0.29351674467961175,13.190926432424273,False,False
L224,constant_flux_structural,circular_single_hotspot,1,52.0,3.873543767971046,0.29093390775792927,13.314170898202821,False,False
L224,constant_flux_structural,circular_single_hotspot,1,54.0,3.8184124693042647,0.28914992274255874,13.205649280784845,False,False
L224,constant_flux_structural,circular_single_hotspot,1,56.0,3.841446900231805,0.28824084266225514,13.327212287999735,False,False
L224,constant_flux_structural,circular_single_hotspot,1,58.0,3.8165137432815164,0.2890122586084473,13.205369771017619,False,True
L224,constant_flux_structural,circular_single_hotspot,1,60.0,3.8671914724375736,0.2904544201071266,13.314279985862361,False,True
L224,constant_flux_structural,circular_single_hotspot,1,62.0,3.85411335289656,0.29219055814152595,13.190410317878152,False,True
L224,constant_flux_structural,circular_single_hotspot,1,64.0,3.9059257581122564,0.29367872979443815,13.29999540942658,False,True
L224,constant_flux_structural,circular_single_hotspot,1,66.0,3.875199631528123,0.294046022585356,13.17888811233019,False,True
L224,constant_flux_structural,circular_single_hotspot,1,68.0,3.9027714395600697,0.2936831789233386,13.289053373325228,False,True
L224,constant_flux_structural,circular_single_hotspot,1,70.0,3.8500210767100915,0.2923043804075196,13.171273969081609,False,True
L224,constant_flux_structural,circular_single_hotspot,1,72.0,3.8593113760689475,0.29057901846050954,13.281452310340976,False,True
L224,constant_flux_structural,circular_single_hotspot,1,74.0,3.8083879534703686,0.2892254171335125,13.167542435291352,False,True
L224,constant_flux_structural,circular_single_hotspot,1,76.0,3.827724806674385,0.2882935260434631,13.277179197209296,False,True
L224,constant_flux_structural,circular_single_hotspot,1,78.0,3.798967633755153,0.2885070748726715,13.167675820191837,False,True
L224,constant_flux_structural,circular_single_hotspot,1,80.0,3.841386984190161,0.28934317778732366,13.276231406477816,False,True
