geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,DELAY_ONLY,300.0,18.47709816245863,172.2219069786095,344.7776995958318,4125.842997174994,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,1000.0,18.47709816245863,324.6215167124452,528.6626421270396,7542.306912614193,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,3000.0,18.47709816245863,486.3877024764243,706.4998791650694,11406.84084788829,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,10000.0,18.47709816245863,678.1309293016843,907.0405669345737,16152.886560217357,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,30000.0,18.47709816245863,859.8268010606175,1093.8273922978244,20768.21989500885,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,100000.0,18.47709816245863,1062.7398372414825,1303.0068697586216,26033.639413184206,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,1000000.0,18.47709816245863,1462.6574206862128,1707.1665070531276,36494.970796469854,,,,,,,
a000_i020,0.0,20,DELAY_ONLY,100.0,18.47709816245863,67.85788581646776,196.42782343973295,1892.7384058461294,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,1.0,18.47709816245863,0.017142610718513734,0.2126977519590045,0.4708775828765758,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,3.0,18.47709816245863,0.149566483413954,1.4809053179232448,3.486468482443617,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,10.0,18.47709816245863,1.316504394978907,6.774569414949895,19.539408813660806,,,,,,,
a000_i020,0.0,20,SPATIAL_ONLY,30.0,18.47709816245863,5.69518446695636,15.72262065908832,60.794452769345845,,,,,,,
