reading,arm,readout,snr,source_seed,rule,hyperparameter,nrmse,visible_component_error,null_component_error,data_residual
B_cells6_screen2,resolved_identical,resolved,100.0,300002,gcv,15.361749466718296,0.5376870464475397,0.039781796900919014,0.840740987324577,16.67915244509214
B_cells6_screen2,resolved_identical,resolved,100.0,300002,discrepancy,100.0,0.5419537477826112,0.08973418820265512,0.8407409873252026,16.84104593726553
B_cells6_screen2,resolved_identical,resolved,100.0,300003,oracle,0.00012638482029342997,0.18633777368786014,0.06690861061235895,0.3177521187103594,16.50846243597711
B_cells6_screen2,resolved_identical,resolved,100.0,300003,gcv,1.4773776525985156,0.18670779728174072,0.06796416946447287,0.31775209116757813,16.50902448171822
B_cells6_screen2,resolved_identical,resolved,100.0,300003,discrepancy,39.19406774847229,0.2275453211181069,0.1485471689410918,0.31775209116504244,16.78171627947169
B_cells6_screen2,resolved_identical,resolved,100.0,300004,oracle,3.7693909753883634,0.43862966194869585,0.09649260367822961,0.6393623347182678,16.572417915771638
B_cells6_screen2,resolved_identical,resolved,100.0,300004,gcv,9.617248711152984,0.43869011195034535,0.09682912494872283,0.6393623347166143,16.5749042538351
B_cells6_screen2,resolved_identical,resolved,100.0,300004,discrepancy,100.0,0.4476671343502347,0.13833495219306854,0.6393623347153504,16.754033807806206
B_cells6_screen2,resolved_identical,resolved,100.0,300005,oracle,2.6529484644318945e-09,0.48310788406681054,0.05665738273603996,0.802367695834937,16.510831645314948
B_cells6_screen2,resolved_identical,resolved,100.0,300005,gcv,15.361749466718296,0.48530164026387707,0.07592678448764717,0.8026456434048906,16.51786176280042
B_cells6_screen2,resolved_identical,resolved,100.0,300005,discrepancy,100.0,0.4990794400601192,0.15298203791689938,0.8026456434048028,16.66081993268043
B_cells6_screen2,resolved_identical,resolved,100.0,300006,oracle,9.617248711152984,0.42217883071609436,0.036941805851939395,0.6129361169562249,15.289416878112839
B_cells6_screen2,resolved_identical,resolved,100.0,300006,gcv,15.361749466718296,0.4222496598759445,0.037912797982916704,0.612936116955698,15.292340407059868
B_cells6_screen2,resolved_identical,resolved,100.0,300006,discrepancy,100.0,0.42844692322198336,0.08856677137232248,0.6129361169549408,15.404743632437665
B_cells6_screen2,resolved_identical,resolved,100.0,300007,oracle,39.19406774847229,0.36628553682461606,0.04239308904305985,0.5679773720580892,16.74552349176021
B_cells6_screen2,resolved_identical,resolved,100.0,300007,gcv,3.7693909753883634,0.3710365846330676,0.07639220912962488,0.5679773720572469,16.64920487456798
B_cells6_screen2,resolved_identical,resolved,100.0,300007,discrepancy,100.0,0.3776769388168628,0.10755261186972577,0.5679773720581622,17.06246807645115
B_cells6_screen2,resolved_identical,resolved,10.0,300000,oracle,1.4773776525985156,0.5964678407910026,0.2385385936394253,0.8659963207258401,16.74841321130777
B_cells6_screen2,resolved_identical,resolved,10.0,300000,gcv,15.361749466718296,0.6505599284717091,0.39452352781940714,0.8659963207258619,16.829599726290674
B_cells6_screen2,resolved_identical,resolved,10.0,300000,discrepancy,39.19406774847229,0.6827702276141201,0.4674612162364766,0.8659963207258636,16.97418547726262
B_cells6_screen2,resolved_identical,resolved,10.0,300001,oracle,15.361749466718296,0.5827942731796816,0.429921816735982,0.9041743335043378,15.666476893257128
B_cells6_screen2,resolved_identical,resolved,10.0,300001,gcv,9.617248711152984,0.5833592737056044,0.43086670423814855,0.9041743335043428,15.605760497687172
B_cells6_screen2,resolved_identical,resolved,10.0,300001,discrepancy,24.537511066398267,0.5865768773653978,0.43622591946019473,0.9041743335043323,15.791782660239313
B_cells6_screen2,resolved_identical,resolved,10.0,300002,oracle,6.02089449333615,0.5821494682696035,0.2674160758054757,0.8407409873253535,16.719557407415248
B_cells6_screen2,resolved_identical,resolved,10.0,300002,gcv,6.02089449333615,0.5821494682696035,0.2674160758054757,0.8407409873253535,16.719557407415248
B_cells6_screen2,resolved_identical,resolved,10.0,300002,discrepancy,24.537511066398267,0.618501874727097,0.3644324862628412,0.8407409873253369,16.910311999369515
B_cells6_screen2,resolved_identical,resolved,10.0,300003,oracle,1.4773776525985156,0.5829937893149842,0.564976386852823,0.31775209116491543,16.532404684439573
B_cells6_screen2,resolved_identical,resolved,10.0,300003,gcv,15.361749466718296,0.6956879550641679,0.6839688333058205,0.3177520911649419,16.63129161371338
B_cells6_screen2,resolved_identical,resolved,10.0,300003,discrepancy,62.60516572014828,0.7311419166017998,0.72109997104867,0.31775209116494424,16.944130703642486
B_cells6_screen2,resolved_identical,resolved,10.0,300004,oracle,9.617248711152984,0.5558339266070788,0.39024286135725766,0.6393623347152492,16.67402735708011
B_cells6_screen2,resolved_identical,resolved,10.0,300004,gcv,9.617248711152984,0.5558339266070788,0.39024286135725766,0.6393623347152492,16.67402735708011
B_cells6_screen2,resolved_identical,resolved,10.0,300004,discrepancy,39.19406774847229,0.6037240798028238,0.46947839502398037,0.639362334715248,16.914805115415003
B_cells6_screen2,resolved_identical,resolved,10.0,300005,oracle,24.537511066398267,0.5932907393081186,0.39654273563440406,0.8026456434047999,16.643107826530077
B_cells6_screen2,resolved_identical,resolved,10.0,300005,gcv,15.361749466718296,0.5954591794698229,0.4007475143570589,0.8026456434048026,16.5826496758183
B_cells6_screen2,resolved_identical,resolved,10.0,300005,discrepancy,39.19406774847229,0.5952357685327486,0.4003156375891189,0.8026456434047994,16.758645578590308
B_cells6_screen2,resolved_identical,resolved,10.0,300006,oracle,15.361749466718296,0.4886236638097352,0.2736937389105692,0.6129361169548333,15.38016822317409
B_cells6_screen2,resolved_identical,resolved,10.0,300006,gcv,9.617248711152984,0.49208395405427524,0.2811266497131825,0.6129361169548397,15.340247915435215
B_cells6_screen2,resolved_identical,resolved,10.0,300006,discrepancy,39.19406774847229,0.49789089492300503,0.2932886448669771,0.6129361169548286,15.566596541534976
B_cells6_screen2,resolved_identical,resolved,10.0,300007,oracle,3.7693909753883634,0.44267322708630075,0.2702568069434126,0.5679773720582029,16.729712938233657
B_cells6_screen2,resolved_identical,resolved,10.0,300007,gcv,2.3598334667821987,0.45369619048615556,0.29056829118337457,0.567977372058212,16.703309808501714
B_cells6_screen2,resolved_identical,resolved,10.0,300007,discrepancy,39.19406774847229,0.6193086982249758,0.5378661662321385,0.5679773720581887,17.076240192758245
B_cells6_screen2,resolved_diverse,resolved,-1.0,300000,oracle,1e-10,1.1522493417676635e-08,1.1522493425419153e-08,3.180986353285387e-16,8.651643432156595e-10
B_cells6_screen2,resolved_diverse,resolved,-1.0,300000,gcv,1e-10,1.1522493417676635e-08,1.1522493425419153e-08,3.180986353285387e-16,8.651643432156595e-10
