arm,estimator,snr0,regime,draw,error_data_supported,error_weak,n_data_directions,error_in_reference_data_subspace,error_outside_reference_data_subspace,n_reference_data_directions,note,freeze_sha256
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,1,1.2147774685767823,1.4020735453554405,85,1.2147774685767823,1.4020735453554405,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,2,1.2392653280176447,1.410231305917118,85,1.2392653280176449,1.4102313059171183,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,3,1.2317267575523947,1.396929132657164,85,1.2317267575523947,1.3969291326571642,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,4,1.2389208113608077,1.413375653410813,85,1.238920811360808,1.4133756534108133,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,5,1.2497878795366488,1.4097992378957995,85,1.2497878795366488,1.4097992378958,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,6,1.2402091584766746,1.412744213683903,85,1.2402091584766746,1.412744213683903,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,7,1.2553272962173057,1.40274555366486,85,1.2553272962173057,1.40274555366486,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,0,1.669717621822373,19.805467034505664,85,1.669717621822373,19.80546703450566,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,1,1.6771699830254572,19.60381329970299,85,1.6771699830254572,19.603813299702985,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,2,1.63433646666052,19.089143555830464,85,1.63433646666052,19.08914355583046,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
