family,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale,g10c_radial_cells,g10c_azimuthal_cells,g10c_ages_scored,chose_global_maximum_fraction,hash_dj,hash_bg,hash_total,hash_features
m2_structural_mode,2,8940750675510997604,0.04413017648214819,0.3883159112284671,0.273301231427042,0.32013807574750686,1.2750095787443364e-18,1.7780915628762273e-17,1.0,0.06349061418179508,0.12293644507247933,61,1.0,adf5cfe6497c41a73843533cc74add83a9197957b2a287bed8aadb09cf1bfdde,94173b333a0701b5e251272e9168fc9eb9b68141acbec8e7f473b2fa7784a420,e51c22f681565520f246c7f8eedfaf4c6f75617779dae7ef9c55a5e18875ec84,84db81cee6bcde2946f725c2419cac18542ee29ae71f1070e07e2342e353a7a8
m2_structural_mode,3,8505667475088148276,0.061172488042601,0.6766844270953654,0.11634615931106435,0.2043658042617925,1.2779785780059012e-18,2.0383000842727483e-17,1.0,0.16109989647662584,0.1213191398671948,61,1.0,72a18ff01946eec83aa3740f27cca7111d39cbeda9c26be993fca6d8cd5e522f,9fabc177e83aed8c22cb379c92490ad2803640e1678828efd6615e526828c842,fff42ff27c2b6392bd267494086357bc08681315669016e34d9332e1d5839488,2d6096fe98525c09e963a333a25245dd6f1213136fec1ad502cdaea267a7e580
m2_structural_mode,4,814364958248786926,0.2822552128606993,0.7311473292557137,0.2190498393313125,0.346688443205808,1.1904851825058863e-17,5.204170427930421e-17,1.0,0.05309639085045896,0.12292872906118407,61,1.0,1a7c8368f56b020093b918a9a032f987ef2d03413d9685a33cfb2894d7a86e6e,419fef01fe9bacad0b4585c4ee5d7c5f6a561bf4ee514041a2fefe9b4f7eb51f,592ce5f258656f07218775d8df2e43f764726619a0f6ba3065a266a782f96a8e,d008182447a1a69988d31e5208319bdf7bd8f77f0dcddf1a8316b2a7c15fe2b6
m2_structural_mode,5,2439498617750789187,0.31802398878886623,0.7004616605518981,0.21080104318518272,0.2916188211282157,8.878298543719942e-18,5.0306980803327406e-17,1.0,0.022344765814963627,0.12245901400912108,61,1.0,153159ea2c78722e4db182539c7369c31d76dce1d6cf3dd9712c256ce21f9f3e,48fe3af05f0f0f1ddf009a8a18b5dd3e9b44303b7af2a0121dac12307b4c3fa2,5a3647f4c105c1b0eaa4a640e202de1a221954bbe9354634fa5baaf6f7540996,bf6546dcd6bbabf30f8714db8873eac2a56e71c63ac05cd214aeca3552462fdb
m2_structural_mode,6,6255398184961250311,0.03868503818868701,0.3068395264941866,0.346683591830111,0.346683591830111,9.515233577508143e-19,1.2793585635328952e-17,1.0,0.10912890708567748,0.12627869786466864,61,1.0,b44aff04a2dc735b3084c4bb1784e9e655e95c583b412c516e1ea2ca11ff7423,a5d8648c376adb4c57054cfc2944964e0914de1e6708a72698b8da3606a0ba7f,5f73e8ddfcdb04b59f4b150d745d14e2464038751b09a8e2de13d8271cb66dec,f4642222eabb196dc45db62d011eb7852b62c9788d626704c26d7947859886bf
m2_structural_mode,7,1185623150008300336,0.10324336277580062,0.6979758769179927,0.121847642172002,0.22002018240891807,2.9512732023071323e-18,3.382710778154774e-17,1.0,0.056187936944860926,0.1247973050778295,61,1.0,fd76c3275801492e1d9c39e43ec2f2663ef54da9b2ac8b0d95e49f50daf55698,074c7cc52b92d059196902eb3df9379723f9f4f64ca83cbeb9391680c46034d8,6430af7c1d452a81230605fe6724d9b5d11017a3859677accbc23b707652e820,8100dab710881c4567f4958ef94879322ab4bda4fd291569825597872946b89c
m2_structural_mode,8,1670162285254327792,0.0353083136970635,0.526699487247117,0.14695622605144135,0.31023034059352805,6.979551485375435e-19,1.474514954580286e-17,1.0,0.0,0.12630837566091344,61,1.0,6a4e6d21338e0f0a3397f618fd54f889dcbbd7fcd36fdfd35eaa4b56a07a1e97,ce486e0c6ae06fef6ce0706419fabd4eb7301a5486dfa1979cf44bad38108798,ec9ce3618f5ee70990c6be62b12ad3baa10920671703d0e84582214af63f51a2,c4d8df54e857ec905bc33f17a32e7458db2c4c2fe34ee71c4086fd21c8f7edba
m2_structural_mode,9,2102086697666569327,0.2069897159944641,0.587603356150969,0.17489304111677523,0.19072084306767567,5.6688347814091716e-18,3.903127820947816e-17,1.0,0.07614626354363997,0.12446371303658671,61,1.0,d82f7ca888e0d26ad7410aa3994be649d7c35d8c1a8e5f8a8cd650e6c61f2651,cd88ebbf93964526fea8ff3252dd257f6224809892fa1f90113a7b5d8156d6b2,4fdce7821b70ce28fb01c5a2144a660c7b46fd7b49e1977f7dc9b96fa179efbf,0aeab3bab54f2126f09b0da1eed3d3aefaf230978c63f003b9d2f8672ecdbfd3
m2_structural_mode,10,3923134224673462687,0.0883644100028877,0.6535025854203793,0.11338027059831968,0.1982027905502413,2.4530636635301074e-18,1.8214596497756474e-17,1.0,0.11045166492909957,0.12636009238388832,61,1.0,76bdf063642baee8d11290a6f9a9e6a4a9df3bfea3773475cfbfc3b90c331404,419a3728317115929ff9eab70966be69d859dc7ab52be01cd6fa4901e675683a,13c3b1308d6de395ad2fc71f3cfda9900dbb11be547dafeee6fa539b62a7b305,6ec08277aa92478561816c8b9aa28729227082b29e95d78a3e7ce7b24b69e6ee
m2_structural_mode,11,6593938714445851745,0.036138262059492006,0.3781266198474965,0.19403580809828547,0.31201819259525404,5.709478307269313e-19,1.0842021724855044e-17,1.0,0.47619047619047566,0.12462207234487639,61,1.0,44065958bb5dffddce52baa2a40a82fae981a9982d13206b0cae8398fbfbf154,d7ae8315639ed279a89dfa3dc43e049b0a6200a3831a01fe3fc013cedd2f77f5,a66706e78d304284c9db2797a981de1e4e0ebaf91a02f5a8b44bcb37c5d33505,d82132448936332c41336758604c479facd8185988d62a95750d2490e8bffcc2
