arm,estimator,snr0,regime,n_truths,n_draws,seconds,peak_rss_mb,iterations,note,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,10.0,validation_ood,256,5,0.18736553192138672,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,10.0,validation_in_class,512,5,0.3756389617919922,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,10.0,validation_off_grid,320,5,0.23795795440673828,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,10.0,validation_ood,256,5,0.19817757606506348,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,10.0,validation_in_class,512,5,0.3811526298522949,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,10.0,validation_off_grid,320,5,0.27582645416259766,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,10.0,validation_ood,256,5,0.21363210678100586,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,30.0,validation_in_class,512,5,0.4360978603363037,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,30.0,validation_off_grid,320,5,0.28489065170288086,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,30.0,validation_ood,256,5,0.23703527450561523,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,30.0,validation_in_class,512,5,0.4666616916656494,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,30.0,validation_off_grid,320,5,0.28784823417663574,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,30.0,validation_ood,256,5,0.2304058074951172,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
