family,index,class,off_manifold,canary,n_multi_before,n_merged,merger_rate,representation_floor_median,representation_floor_max
m1_rotating_crescent,1,L896_radial_enriched,False,False,0,0,0.0,22.16980743755655,22.16980743755655
m1_rotating_crescent,2,L448_contrast,False,False,0,0,0.0,1.6666666666666676,1.685312368013058
m1_rotating_crescent,2,L896_radial_enriched,False,False,0,0,0.0,22.169807437556546,22.276950294699404
m1_rotating_crescent,3,L448_contrast,False,False,0,0,0.0,66.03323183647916,66.03323183647916
m1_rotating_crescent,3,L896_radial_enriched,False,False,0,0,0.0,22.16980743755655,22.16980743755655
m1_rotating_crescent,4,L448_contrast,False,False,0,0,0.0,1.666666666666667,1.685312368013058
m1_rotating_crescent,4,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523708,0.3452380952380972
m1_rotating_crescent,5,L448_contrast,False,False,0,0,0.0,2.380952380952379,2.3940414032265194
m1_rotating_crescent,5,L896_radial_enriched,False,False,0,0,0.0,0.47619047619047566,0.5378265237179285
m1_rotating_crescent,6,L448_contrast,False,False,0,0,0.0,0.4761904761904758,0.4761904761904758
m1_rotating_crescent,6,L896_radial_enriched,False,False,0,0,0.0,0.4761904761904758,0.4761904761904758
m1_rotating_crescent,7,L448_contrast,False,False,0,0,0.0,22.169807437556546,22.169807437556546
m1_rotating_crescent,7,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,8,L448_contrast,False,False,0,0,0.0,1.904761904761904,1.921098101043306
m1_rotating_crescent,8,L896_radial_enriched,False,False,0,0,0.0,0.47619047619047566,0.5378265237179285
m1_rotating_crescent,9,L448_contrast,False,False,0,0,0.0,1.6666666666666676,1.6666666666666676
m1_rotating_crescent,9,L896_radial_enriched,False,False,0,0,0.0,22.169807437556546,22.169807437556546
m1_rotating_crescent,10,L448_contrast,False,False,0,0,0.0,44.33961487511309,44.33961487511309
m1_rotating_crescent,10,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523697,0.23809523809523697
m1_rotating_crescent,11,L448_contrast,False,False,0,0,0.0,1.1904761904761898,1.1904761904761898
m1_rotating_crescent,11,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,12,L448_contrast,False,False,0,0,0.0,2.3809523809523796,2.3940414032265203
m1_rotating_crescent,12,L896_radial_enriched,False,False,0,0,0.0,0.47619047619047566,0.5378265237179296
m1_rotating_crescent,13,L448_contrast,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,13,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
m1_rotating_crescent,14,L448_contrast,False,False,0,0,0.0,2.1428571428571432,2.1573911872198512
m1_rotating_crescent,14,L896_radial_enriched,False,False,0,0,0.0,0.2380952380952389,0.3452380952380952
