regime,arm,estimator,snr0,mean_direct,mean_arm,cell_mean,median,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,n_truths,n_cells,n_families_improved,n_families,meets_materiality,improved_circular_hotspot_trajectory,improved_flare_birth_motion_decay,improved_m1_rotating_crescent,improved_m2_structural_mode,improved_plunging_feature,improved_two_hotspot_trajectories
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.6691100006857504,0.5963041373986361,0.10281566976362566,0.12611590821204732,0.031033204061035016,0.17095846554264568,0.03233936253694562,0.18848601879845656,48,6,5,6,False,True,True,True,True,False,True
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.6582956822578633,0.5469371125007,0.15113041605172495,0.15648496952209198,0.09473825199039461,0.2017690309085457,0.10494406766349623,0.21256703187307574,48,6,6,6,True,True,True,True,True,True,True
estimated_from_data,TOTAL_FLUX,TSVD,100.0,0.6582956822578633,0.6934540039033138,-0.07116447416455242,-0.10949209360153923,-0.1373667398105424,0.0003003363823166028,-0.1866353049401965,-0.03778593392719153,48,6,2,6,False,False,True,False,False,False,True
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.6582956822578633,0.6270190844581979,0.0324208315034389,0.07208087572178387,-0.03381392945962039,0.09912746253293767,-0.10006148154234008,0.12215816115413856,48,6,5,6,False,True,True,True,True,False,True
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.6538246523910645,0.5133484186830459,0.1921195919405808,0.21652748679947295,0.1300655479861788,0.2464323327765102,0.16971761051400047,0.2631479003688021,48,6,5,6,True,True,False,True,True,True,True
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.6538246523910645,0.6934540663411314,-0.05989303801565105,-0.08668502608345335,-0.11309664008410088,-0.0067510546797683,-0.12493457468865614,-0.0558588121098828,48,6,1,6,False,False,True,False,False,False,False
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.6538246523910645,0.6031513802237441,0.06299818594189881,0.06293225374632216,-0.003791700856257445,0.12621329247667926,-8.489403851981968e-05,0.17625953079707077,48,6,4,6,False,True,False,True,True,False,True
estimated_from_data,RESOLVED_PHYSICAL,TSVD,1000.0,0.6588277066999467,0.5535312814220998,0.13878615899869753,0.1439418510724152,0.07399927263675267,0.19985263324764976,0.06776707520305215,0.1889758278644711,48,6,6,6,True,True,True,True,True,True,True
estimated_from_data,TOTAL_FLUX,TSVD,1000.0,0.6588277066999467,0.7007344172058055,-0.09632610662505083,-0.10438397963085888,-0.17624008237567465,-0.014227304399719797,-0.16062787262500083,-0.038174497116153484,48,6,2,6,False,False,True,False,False,False,True
estimated_from_data,UNRESOLVED_IMAGE,TSVD,1000.0,0.6588277066999467,0.6261585133991164,0.02239028776900517,0.05024815463727773,-0.05743524905184155,0.10131803014765765,-0.06394217485945314,0.1351238862301704,48,6,5,6,False,True,True,True,True,False,True
