regime,retarded_age,median_normalized_error,median_structure_normalized_error,median_absolute_error,in_old_band,definition,freeze_sha256
OFF_GRID_ID,88.0,0.07371779889322544,0.8118778193506395,0.07547401292435924,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,92.0,0.07194408938497426,0.8116930453024079,0.07484324806073397,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,96.0,0.0728992038007531,0.8110602205561972,0.07542496326094292,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,100.0,0.07235284727117211,0.8065595588353551,0.07557232016224334,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,104.0,0.07206170910869786,0.8061527300990642,0.07370324079989668,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,108.0,0.07467649765000098,0.8116131767511583,0.07630157736989729,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,112.0,0.07288625222171738,0.8056928039802517,0.07517136176165135,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,116.0,0.07452132269829365,0.8094609815003115,0.07621029537828007,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,120.0,0.07376603154233088,0.8033794108426429,0.07559367990799085,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_OOD,0.0,0.0008817414181313799,0.07696736646142106,0.0008817740415352786,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
