arm,target_delta,pair,realized_delta,relative_delta_error,bayes_accuracy,observed_accuracy,monte_carlo_tolerance,exceeds_bayes,disposition,reason,freeze_sha256
RESOLVED_PHYSICAL,0.25,11,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.55078125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,11,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.525390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,11,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.509765625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,12,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.5625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,12,0.25,0.0,0.5497382248301129,0.55859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,12,0.25,0.0,0.5497382248301129,0.53125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,12,0.25,0.0,0.5497382248301129,0.50390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,13,0.25,0.0,0.5497382248301129,0.546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,13,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.576171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,13,0.25,0.0,0.5497382248301129,0.5546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,13,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.564453125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,14,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.533203125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,14,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.54296875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,14,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.578125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,14,0.2499999999999998,7.771561172376096e-16,0.5497382248301128,0.587890625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,15,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.548828125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,15,0.25,0.0,0.5497382248301129,0.568359375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,15,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,15,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.576171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,16,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.51171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,16,0.25,0.0,0.5497382248301129,0.576171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,16,0.25,0.0,0.5497382248301129,0.5390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,16,0.24999999999999983,6.661338147750939e-16,0.5497382248301128,0.51953125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,17,0.25,0.0,0.5497382248301129,0.544921875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,17,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.556640625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,17,0.25,0.0,0.5497382248301129,0.5546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,17,0.2500000000000001,4.440892098500626e-16,0.5497382248301129,0.55859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,18,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.560546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,18,0.25,0.0,0.5497382248301129,0.560546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,18,0.25,0.0,0.5497382248301129,0.525390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,18,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.5078125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,19,0.2499999999999999,4.440892098500626e-16,0.5497382248301129,0.560546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,19,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.564453125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,19,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.53515625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
