geometry,source_class,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,C224,UNRESOLVED_IMAGE,8.0,0.45930965464253515,1.0271377742713032e-05,115.2328256998391
a000_i020,C224,UNRESOLVED_IMAGE,12.0,0.4170736169417235,7.33463696230541e-07,100.67360050446236
a000_i020,C224,UNRESOLVED_IMAGE,16.0,0.2518157615226014,2.0174779998976913e-08,73.08944911557575
a000_i020,C224,UNRESOLVED_IMAGE,20.0,0.04452647377705127,4.891708601111325e-10,33.4659657425072
a000_i020,C224,UNRESOLVED_IMAGE,24.0,0.000772477960753493,5.543875982963278e-10,7.568728942038309
a000_i020,C224,UNRESOLVED_IMAGE,28.0,0.00010497798012749,1.5437691751941144e-09,3.474706123122129
a000_i020,C224,UNRESOLVED_IMAGE,32.0,9.194115761303582e-05,3.851165197463494e-09,3.302377277697691
a000_i020,C224,UNRESOLVED_IMAGE,36.0,5.760851601019925e-05,5.920508723299273e-09,2.4340869039531654
a000_i020,C224,UNRESOLVED_IMAGE,40.0,3.252997819879923e-05,4.038124960145825e-09,1.528278375382512
a000_i020,C224,UNRESOLVED_IMAGE,44.0,2.1198146958052535e-05,3.1718927967668475e-09,0.9524678017119514
a000_i020,C224,UNRESOLVED_IMAGE,48.0,1.4908076658793212e-05,2.5672766931161554e-09,0.6183310328000526
a000_i020,C224,UNRESOLVED_IMAGE,52.0,1.119425172294924e-05,1.1591576206041133e-09,0.4455139342858594
a000_i020,C224,UNRESOLVED_IMAGE,56.0,8.763404518166499e-06,2.99173751529911e-10,0.32884099027806146
a000_i020,C224,UNRESOLVED_IMAGE,60.0,6.769761968138947e-06,7.104519766776626e-11,0.23413759998587957
a000_i020,C224,UNRESOLVED_IMAGE,64.0,3.7118850915015682e-06,1.2701617333833532e-11,0.1587977885319718
a000_i020,C224,UNRESOLVED_IMAGE,68.0,1.866603065406225e-06,2.4143657741721585e-12,0.09821346532613334
a000_i020,C224,UNRESOLVED_IMAGE,72.0,1.3026008251778576e-06,2.31470051231271e-13,0.05752493445763118
a000_i020,C224,UNRESOLVED_IMAGE,76.0,6.138258323073929e-07,1.5026933608164382e-14,0.02754298184315951
a000_i020,C224,UNRESOLVED_IMAGE,80.0,2.869044501795986e-07,1.3293736006155658e-15,0.0070547274077121126
a000_i020,C224,UNRESOLVED_IMAGE,84.0,7.304708173383584e-08,9.455735834681579e-17,0.001003855224971021
a000_i020,C224,UNRESOLVED_IMAGE,88.0,1.914573242177375e-09,1.1096831698178378e-17,7.840987273097385e-05
a000_i020,C224,UNRESOLVED_IMAGE,92.0,9.213688245576007e-10,8.317816601848028e-20,3.844491086689795e-05
a000_i020,C224,UNRESOLVED_IMAGE,96.0,4.0617250580413303e-10,3.29214469760697e-22,1.2328745168810764e-05
a000_i020,C224,UNRESOLVED_IMAGE,100.0,3.745232609844446e-11,7.141430948140594e-26,9.636241535627298e-07
a000_i020,C224,UNRESOLVED_IMAGE,104.0,2.154020638081064e-13,0.0,5.26879804728449e-09
a000_i020,C224,UNRESOLVED_IMAGE,108.0,4.209970324305816e-17,0.0,9.727861566255985e-13
a000_i020,C224,UNRESOLVED_IMAGE,112.0,2.436740107226256e-22,0.0,5.287168740822963e-18
a000_i020,C224,UNRESOLVED_IMAGE,116.0,4.0662308144862274e-29,0.0,8.28333029840915e-25
