family,index,truth_seed,zero_mean_max_abs,min_total,n_ambiguous,n_single_resolved,n_multi_resolved,n_blended,n_dead,hash_dj,hash_labels
m1_rotating_crescent,9,1790904924207361846,1.5574035593034588e-18,0.19450068209409485,0,61,0,0,0,02421ce02398c73da1df52aac26d5b40f5d8a5bae6c13990d1c9cc38a6ddc116,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m2_structural_mode,0,310694206521148884,4.0996396101136557e-19,0.1604914576052491,0,0,61,0,0,a091c7a5434fabec4decaa2d58fa99b02d3208e7f8560fb57efc2a403b804040,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,1,6436719268341340018,6.927833927208522e-18,0.30928172124336256,0,0,61,0,0,3f35e08c5e2aa813d6749ff882525d2ce17c3c2044238a0f0e2fc2c770ec8183,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,2,8047326542082688344,5.510003767175636e-19,0.12459323894748023,0,0,61,0,0,efa0898aea57acc9cc72f2d947d71ae82eb825f19202749df2ea87d976c31cba,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,3,4730685852405795768,1.1798110164068336e-18,0.09801848688383047,0,0,61,0,0,b30a47ae8fbba1bb5ec89d046d8c549d3d9ce5644403242e8b26b468f8a32af0,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,4,3437410005463561325,8.31841775304764e-19,0.19393582872862739,0,0,61,0,0,5455ae0e2e24a2c7563bc8df7a6e59fc6b8521768063f00bc27148acd45c5255,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,5,8850253527249830666,7.763054248724535e-19,0.17393565724524657,0,0,61,0,0,9e2ca934048fdfa001417dac2d0a7d31d9488b81e685f2abe1dc088660cb003b,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,6,1351977579959323045,1.5928156874934407e-18,0.20657533645976986,0,0,61,0,0,8d5c48a46e4e48a55d1b15d48d5b0a7d4f057b06b129c58742fe4b68ae089a26,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,7,1610947664261458777,1.6989764780644159e-18,0.11725254439500848,0,0,61,0,0,977e1e9008e717fe2e1ba7ffa651c36d7fc9e54b744584722cac517d8267e379,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
m2_structural_mode,8,6208510139180436571,6.930929162734714e-19,0.07209658382422068,0,0,61,0,0,4f39c3f7d1a539f0ccfcfda50822d6ba76a56bd362879b3b325175d997c799cd,c0b897b80f6fb4f8cb255580bba35938b13a16a6b1c450644bc372c12f933cf0
