regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
estimated_from_data,circular_hotspot_trajectory,pilot,5,0.016204798408503845,0.061721042613636534,4.913257301009111e-15,0.39878154454966946,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,6,0.018603671355999968,0.09154326210401309,5.454577761687673e-15,0.3407344055732107,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,7,0.014284462283608256,0.06377120329074226,2.388367281724868e-15,0.35057487734399523,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,0,0.010171111239804248,0.022151595335487828,6.298000315707597e-15,0.2200903342887052,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,1,0.017056891251856048,0.058783386625168355,4.111121165717435e-15,0.2939146391982354,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,2,0.012380606701652547,0.027376246036911578,2.543191351955798e-15,0.3190173587455747,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,3,0.016417496598894063,0.04993446512351829,8.611297439009568e-15,0.2171355218355955,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,4,0.017433227518774835,0.05906406200171754,1.930400284066991e-15,0.3294019079090724,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,5,0.015147660785228296,0.052345786332909316,5.428556909548021e-15,0.22040331941907218,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,6,0.015256828063339594,0.04641056102762686,1.7675097496727687e-15,0.2522970974930611,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,selection,7,0.014261463350664288,0.022756398274396572,3.9834455178855424e-15,0.20272085192578446,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,0,0.016581095032344405,0.0405147407550448,5.100433964067008e-15,0.21138714204723505,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,1,0.011241742251633574,0.04768525404790247,7.985105632268841e-15,0.3341216811302946,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,2,0.009467151019971256,0.02355796033739277,1.0087850693674127e-15,0.32113653447429824,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,3,0.023312330845865176,0.10267004766983323,5.968489591445802e-15,0.25528992197152706,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,4,0.0225058091067426,0.07263888286829645,5.103382993976169e-15,0.21916389527249125,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,5,0.013411102314773804,0.05612396544693832,6.537392155392397e-15,0.28717453552423533,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,6,0.01309039144184816,0.028418596402816743,3.747523125152697e-15,0.22804868974446327,0.0,0.0
estimated_from_data,flare_birth_motion_decay,pilot,7,0.02993691343565684,0.10768846947316835,5.2381710080595665e-15,0.2606247585212579,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,0,0.01998339093791012,0.060824618132062414,4.556771626695877e-15,0.21732844925175104,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,1,0.014457598176573133,0.046569849506041594,5.490313065292795e-15,0.2551412722407744,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,2,0.013161477249680927,0.026382271611648855,-2.9117333544270706e-16,0.2088238907346538,0.0,0.0
estimated_from_data,flare_birth_motion_decay,selection,3,0.015840221209940518,0.028474213020149852,4.101580186599563e-15,0.259093794885199,0.0,0.0
