delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
constant,identical,equalized,0.0,9000,5,16,15,0,2,0.9873964488340495,2.4974251851215565
constant,identical,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,identical,exponential,0.3,9000,1,16,7,0,3,0.00044845984297713125,2915.0325100084906
constant,identical,exponential,0.3,9000,2,16,9,0,2,0.0038525311569988113,370.7468075671322
constant,identical,exponential,0.3,9000,3,16,9,0,0,0.026574938994154182,55.970912053016626
constant,identical,exponential,0.3,9000,4,16,9,0,0,0.11181793038883082,13.544532297823027
constant,identical,exponential,0.3,9000,5,16,9,0,0,0.23830134750987209,6.3807807391879745
constant,identical,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,identical,exponential,0.6,9000,1,16,7,0,3,0.0003726515393244933,3215.4027162593443
constant,identical,exponential,0.6,9000,2,16,7,0,0,0.002612058725539461,474.376259818563
constant,identical,exponential,0.6,9000,3,16,7,0,0,0.013602772428118517,91.87486959582819
constant,identical,exponential,0.6,9000,4,16,7,0,0,0.038449810844757897,32.551484773529246
constant,identical,exponential,0.6,9000,5,16,7,0,0,0.060696388801539956,20.622551289744237
constant,identical,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,identical,exponential,0.9,9000,1,16,7,0,3,0.0003120357333079683,3633.9698404219675
constant,identical,exponential,0.9,9000,2,16,7,0,0,0.001876206820379612,611.3735450942872
constant,identical,exponential,0.9,9000,3,16,7,0,0,0.006934358519394373,165.67992327315216
constant,identical,exponential,0.9,9000,4,16,7,0,0,0.013634169580559746,84.27416354067608
constant,identical,exponential,0.9,9000,5,16,7,0,0,0.017196219396849594,66.81760676109015
constant,rotation,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
constant,rotation,equalized,0.0,9000,1,24,9,8,5,1.6456086157696733e-05,87972.6545385104
constant,rotation,equalized,0.0,9000,2,24,9,0,0,0.000380466157899768,4463.968038093695
constant,rotation,equalized,0.0,9000,3,24,12,0,3,0.004004223453907169,463.0171684240447
constant,rotation,equalized,0.0,9000,4,24,14,0,2,0.030171373192802126,65.68145897805623
