source_class,arm,estimator,snr0,mean_direct,mean_arm,median_relative_reduction,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L448,TOTAL_FLUX,TSVD,100.0,8.294313938892104,8.381358544509814,-0.003136073338138692,-0.004361780874557235,-0.009951957492892476,0.0012442970850105584,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,TSVD,100.0,8.294313938892104,7.738196878587814,0.014823294804294992,-0.2069895128442191,-0.35747203394360677,-0.0795327380525126,3,False,96,12,False,True,True,True,False,True,False,False
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,8.926786254248123,6.285418596964999,0.31171556523853117,0.3062283891305514,0.26603130600667363,0.34517079313682764,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,8.926786254248123,9.047488491550252,-0.009413421840744387,-0.012749143310501322,-0.016324882798478137,-0.00930683714128918,1,False,96,12,False,False,False,False,True,False,False,False
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,8.926786254248123,7.844652741337529,0.13002145693249426,0.11941818251708043,0.09008324735338427,0.147911152475463,4,True,96,12,True,True,True,True,True,True,True,True
L1056,RESOLVED_PHYSICAL,TSVD,1000.0,8.916239366769531,6.533911377621486,0.28595960482449356,0.27846095414114685,0.23856201564229948,0.3173267250588569,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,TSVD,1000.0,8.916239366769531,9.047504660135477,-0.009698591403930857,-0.013309171060960441,-0.017269694623080572,-0.009503379170676247,1,False,96,12,False,False,False,False,True,False,False,False
L1056,UNRESOLVED_IMAGE,TSVD,1000.0,8.916239366769531,8.024995305442133,0.10834553144966955,0.09454059579790601,0.06638148972903057,0.12194386790238423,3,True,96,12,True,True,True,True,False,True,True,True
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,7.112333239713901,3.511085538207142,0.5318274162915149,0.5039385244955311,0.4708778159675692,0.5358226590612779,4,True,96,12,True,True,True,True,True,True,True,True
L224,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,7.112333239713901,7.68470848540989,-0.06767422056510528,-0.08240702718311652,-0.10148469678773063,-0.0640401354717605,0,False,96,12,False,False,False,False,False,False,False,False
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,7.112333239713901,5.901837491758516,0.1949998797404593,0.16461380565766243,0.13626157620615328,0.19107780490007695,4,True,96,12,True,True,True,True,True,True,True,True
L224,RESOLVED_PHYSICAL,TSVD,1000.0,7.256212162772644,3.7167684771738485,0.5316779115616188,0.486676371676728,0.45281860468295443,0.5189054114482508,4,True,96,12,True,True,True,True,True,True,True,True
L224,TOTAL_FLUX,TSVD,1000.0,7.256212162772644,7.689362242949365,-0.04797267544382747,-0.05952919446289431,-0.07596598895942637,-0.04388096857278404,1,False,96,12,False,False,False,False,True,False,False,False
L224,UNRESOLVED_IMAGE,TSVD,1000.0,7.256212162772644,6.673737501622739,0.08895354703985484,0.0717696234287924,0.04482713351168341,0.09713939314834978,3,True,96,12,False,True,True,True,False,True,True,True
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,8.220622787926825,5.193189705184085,0.4255221802773463,0.37832352454502843,0.3454614820645397,0.4105063084972448,4,True,96,12,True,True,True,True,True,True,True,True
L448,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,8.220622787926825,8.382162504677483,-0.011504401763391132,-0.01883385995208402,-0.02434879464981964,-0.013446445726200051,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,8.220622787926825,7.10006725158481,0.1811915234139442,0.1348614488037281,0.10557586058146486,0.16247212834083347,4,True,96,12,True,True,True,True,True,True,True,True
L448,RESOLVED_PHYSICAL,TSVD,1000.0,8.292056957009835,5.262643749733898,0.4266614663969738,0.3702342713660594,0.3338651331041383,0.4055964782908003,4,True,96,12,True,True,True,True,True,True,True,True
L448,TOTAL_FLUX,TSVD,1000.0,8.292056957009835,8.381358437580928,-0.0030629702510938245,-0.007846127202749844,-0.012352925073904533,-0.0035667015643975225,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,TSVD,1000.0,8.292056957009835,7.216150364107783,0.17109980870455133,0.12102605267980125,0.08884581228001591,0.1517962610443478,3,True,96,12,True,True,True,True,False,True,True,True
