geometry,spin,inclination_deg,arm,retarded_age,information_per_snr2,information_at_reference_snr,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,0.0,20,DIRECT_PHYSICAL,248.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,252.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,0.0,0.06514930996566377,651.4930996566377,0.47158463287980024,4.626940275336405e-05,127.76589518474994
a000_i020,0.0,20,RESOLVED_PHYSICAL,4.0,0.05674956529297776,567.4956529297776,0.4716063863941354,3.924574310795935e-05,124.29853433194955
a000_i020,0.0,20,RESOLVED_PHYSICAL,8.0,0.04379948524477864,437.9948524477864,0.4664381123771796,1.0476911777946316e-05,115.74707860619031
a000_i020,0.0,20,RESOLVED_PHYSICAL,12.0,0.03240406139644424,324.04061396444246,0.42410683783869274,7.738873789654897e-07,101.80227590997502
a000_i020,0.0,20,RESOLVED_PHYSICAL,16.0,0.018745249982585165,187.45249982585165,0.2573180624907132,3.107573405778327e-08,77.44719601916775
a000_i020,0.0,20,RESOLVED_PHYSICAL,20.0,0.003723984618499648,37.23984618499648,0.04745171061168987,1.1294671324779476e-08,50.48712668615593
a000_i020,0.0,20,RESOLVED_PHYSICAL,24.0,0.00030652762384575724,3.0652762384575722,0.0060547875171507145,3.515785628738072e-08,36.22610007267342
a000_i020,0.0,20,RESOLVED_PHYSICAL,28.0,0.00029576670652480447,2.9576670652480446,0.006091672425614283,1.0270879159647784e-07,36.33469661284329
a000_i020,0.0,20,RESOLVED_PHYSICAL,32.0,0.00032792663964817495,3.2792663964817494,0.0053011028206154925,2.6859289590771933e-07,36.45144625433684
a000_i020,0.0,20,RESOLVED_PHYSICAL,36.0,0.00032016951820546316,3.2016951820546318,0.0032113028135883287,5.611595610334332e-07,31.831241163158797
a000_i020,0.0,20,RESOLVED_PHYSICAL,40.0,0.00028076974693272866,2.8076974693272865,0.0018741172338156277,5.566519573411238e-07,25.881067472561863
a000_i020,0.0,20,RESOLVED_PHYSICAL,44.0,0.00024019524308961743,2.4019524308961744,0.0012483827286606838,8.019998685729199e-07,21.77257514265127
a000_i020,0.0,20,RESOLVED_PHYSICAL,48.0,0.00020446559657709366,2.0446559657709367,0.0008576507925917694,8.80702061204813e-07,18.578680432861304
a000_i020,0.0,20,RESOLVED_PHYSICAL,52.0,0.00017786976461655075,1.7786976461655075,0.0006141676353714806,3.995742805151626e-07,15.302923852690421
a000_i020,0.0,20,RESOLVED_PHYSICAL,56.0,0.00014768473135506278,1.4768473135506277,0.0004436913465742169,1.033623229961749e-07,12.205235992542384
a000_i020,0.0,20,RESOLVED_PHYSICAL,60.0,0.00011306379786365417,1.1306379786365417,0.00030226213850387273,3.10695482040314e-08,9.376061085847128
a000_i020,0.0,20,RESOLVED_PHYSICAL,64.0,8.345522079863802e-05,0.8345522079863802,0.00018496564420725773,4.649109679791321e-09,7.144963617936553
a000_i020,0.0,20,RESOLVED_PHYSICAL,68.0,5.7046335389566125e-05,0.5704633538956613,0.0001342650670285752,9.206703148951628e-10,5.205075033512637
a000_i020,0.0,20,RESOLVED_PHYSICAL,72.0,3.464689917624273e-05,0.3464689917624273,9.198197361159477e-05,1.2919172243101228e-10,3.4776090989156248
a000_i020,0.0,20,RESOLVED_PHYSICAL,76.0,1.7380958190736143e-05,0.17380958190736143,4.426051967228927e-05,1.59319146074493e-11,1.9683833935644712
a000_i020,0.0,20,RESOLVED_PHYSICAL,80.0,5.828997722312138e-06,0.05828997722312138,2.4637283824842482e-05,2.0402446398410617e-12,0.7204403071157165
a000_i020,0.0,20,RESOLVED_PHYSICAL,84.0,2.0668715345984054e-06,0.020668715345984055,8.400506417647918e-06,1.440285681665046e-13,0.2594079624106346
a000_i020,0.0,20,RESOLVED_PHYSICAL,88.0,1.0976376547879483e-06,0.010976376547879483,2.5990366364149605e-06,1.3406189527136788e-14,0.13587161737659056
a000_i020,0.0,20,RESOLVED_PHYSICAL,92.0,6.083320591561245e-07,0.006083320591561245,1.8367184088354663e-06,1.3569535250181494e-16,0.0772030542958497
a000_i020,0.0,20,RESOLVED_PHYSICAL,96.0,1.9074838229167632e-07,0.0019074838229167631,8.217859642461819e-07,6.9894105019009085e-19,0.025081468572554673
a000_i020,0.0,20,RESOLVED_PHYSICAL,100.0,1.4843522572944226e-08,0.00014843522572944226,7.695631215559106e-08,1.4949612855235615e-22,0.0020059623835540904
a000_i020,0.0,20,RESOLVED_PHYSICAL,104.0,8.093044488032654e-11,8.093044488032653e-07,4.435006842217007e-10,6.332136611240606e-27,1.1003236777683594e-05
a000_i020,0.0,20,RESOLVED_PHYSICAL,108.0,1.4932752347398975e-14,1.4932752347398976e-10,8.670982479970005e-14,0.0,2.0307058491102e-09
a000_i020,0.0,20,RESOLVED_PHYSICAL,112.0,8.116500294110446e-20,8.116500294110446e-16,5.019866487244221e-19,0.0,1.1029530994582498e-14
a000_i020,0.0,20,RESOLVED_PHYSICAL,116.0,1.2718937794565177e-26,1.2718937794565176e-22,8.377844438487976e-26,0.0,1.7267606381335733e-21
a000_i020,0.0,20,RESOLVED_PHYSICAL,120.0,5.723605542649228e-35,5.723605542649229e-31,4.006330945841623e-34,0.0,7.762877160525987e-30
a000_i020,0.0,20,RESOLVED_PHYSICAL,124.0,7.39017746097941e-45,7.39017746097941e-41,5.480126811676664e-44,0.0,1.0013279045153719e-39
a000_i020,0.0,20,RESOLVED_PHYSICAL,128.0,2.7371889513496305e-56,2.7371889513496303e-52,2.1428883356041987e-55,0.0,3.70508774191466e-51
a000_i020,0.0,20,RESOLVED_PHYSICAL,132.0,2.907826508940211e-69,2.907826508940211e-65,2.3947254193726625e-68,0.0,3.932263512591012e-64
a000_i020,0.0,20,RESOLVED_PHYSICAL,136.0,8.859257112526096e-84,8.859257112526096e-80,7.647078898049785e-83,0.0,1.1969150554316011e-78
a000_i020,0.0,20,RESOLVED_PHYSICAL,140.0,7.739881049675717e-100,7.739881049675717e-96,6.977183877996092e-99,0.0,1.0447359645564728e-94
a000_i020,0.0,20,RESOLVED_PHYSICAL,144.0,1.9387106255060097e-117,1.9387106255060097e-113,1.8187951583539055e-116,0.0,2.614617646781885e-112
a000_i020,0.0,20,RESOLVED_PHYSICAL,148.0,1.3920620503073252e-136,1.3920620503073252e-132,1.3545298088154061e-135,0.0,1.875838008053564e-131
a000_i020,0.0,20,RESOLVED_PHYSICAL,152.0,2.864769384222499e-157,2.864769384222499e-153,2.881918258690336e-156,0.0,3.857340387518717e-152
a000_i020,0.0,20,RESOLVED_PHYSICAL,156.0,1.6893517780355312e-179,1.6893517780355314e-175,1.7516752158166774e-178,0.0,2.273007788706108e-174
a000_i020,0.0,20,RESOLVED_PHYSICAL,160.0,2.854045863641835e-203,2.854045863641835e-199,3.0415656629135435e-202,0.0,3.837477073092913e-198
a000_i020,0.0,20,RESOLVED_PHYSICAL,164.0,1.381090782497967e-228,1.381090782497967e-224,1.508714272506211e-227,0.0,1.8558064554857707e-223
a000_i020,0.0,20,RESOLVED_PHYSICAL,168.0,1.9138785926486466e-255,1.9138785926486468e-251,2.1378572479306674e-254,0.0,2.5702288989075717e-250
a000_i020,0.0,20,RESOLVED_PHYSICAL,172.0,7.593633696047413e-284,7.593633696047413e-280,8.653841019051313e-283,0.0,1.0192362216616944e-278
a000_i020,0.0,20,RESOLVED_PHYSICAL,176.0,8.624681435e-314,8.62468143499146e-310,1.000679281077e-312,0.0,1.1570606281562636e-308
a000_i020,0.0,20,RESOLVED_PHYSICAL,180.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,184.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,188.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,192.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,196.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,200.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,204.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,208.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,212.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,216.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,220.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,224.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,228.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,RESOLVED_PHYSICAL,232.0,0.0,0.0,0.0,0.0,0.0
