source_class,arm,bank,family,index,retarded_age,structure_error_absolute,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,62.0,6.50343843408701,1.0709409158062353,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,64.0,6.3680803627126075,1.0394904329142716,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,66.0,6.217249721525833,1.0237751230866254,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,68.0,6.2223292938080395,1.015747677090579,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,70.0,6.165837465245287,1.0152478383489758,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,72.0,6.227552599884825,1.0166722050254964,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,74.0,6.168967996344044,1.0156787310377071,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,76.0,6.207679516150073,1.0135220194823589,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,78.0,6.143753212480902,1.0114204665648956,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,80.0,6.180958898288933,1.0092751036912695,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,82.0,6.1193105793305875,1.0072682561110151,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,84.0,6.1551155444470025,1.0051917412545999,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,86.0,6.096369473761257,1.003343052133543,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,88.0,6.132352467553958,1.0016308625459578,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,90.0,6.0817839701753496,1.000773648065618,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,92.0,6.123176797718424,1.0003081714233921,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,94.0,6.078996092925171,1.000126699202087,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,96.0,6.1204362643265044,1.0000552018648527,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,98.0,6.079672197871935,1.0000313780106314,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,100.0,6.119001526000823,1.0000332573140032,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,102.0,6.081322024185083,1.0000789202628324,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,104.0,6.118335864489174,1.000153639786569,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,106.0,6.083616581825174,1.0002163264130999,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,108.0,6.11754100459606,1.0002683821353962,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,110.0,6.085470036671498,1.000266320213183,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,112.0,6.115690869078384,1.000224747797003,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,114.0,6.086465137789382,1.0001617514865857,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,116.0,6.113160000802938,1.0000825331911183,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,118.0,6.0874344523414265,1.0000409423066539,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,120.0,6.111090210015164,1.0000270835394018,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,0.0,5.436825572039508,1.0755625394640842,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,2.0,5.236608447987988,1.040693082551196,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,4.0,5.239125919269904,1.036172722723591,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,6.0,5.369796250196493,1.0674454286997865,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,8.0,5.59840123368104,1.1069451405675665,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,10.0,5.806956514754613,1.1546379024564026,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,12.0,5.926400676037415,1.1715157451632807,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,14.0,5.7410203996290505,1.1417976773482281,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,16.0,5.625523647502289,1.1117879006951572,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,18.0,5.504717844247663,1.0950422477845496,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,20.0,5.515873797229115,1.0898896095790371,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,22.0,5.524007104404236,1.0991024872040096,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,24.0,5.6625249489000025,1.1186528255585437,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,26.0,5.800970971122023,1.1544223740261226,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,28.0,5.978639192219501,1.180899050718154,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,30.0,5.95792462658058,1.1858523775125451,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,32.0,5.908335220514918,1.1668348821343226,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,34.0,5.548873660287893,1.1045952117821412,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,36.0,5.298601304522122,1.0462809522974446,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,38.0,5.130547867876859,1.0214462922073964,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,40.0,5.176025437141595,1.0219638355400817,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,42.0,5.314861393067207,1.0582485862783835,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,44.0,5.637522199331742,1.1129840309247883,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,46.0,5.9946459031014365,1.1936953503180112,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,48.0,6.3929379954032495,1.2620378898262772,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,50.0,6.499691757853144,1.2943359349542949,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,52.0,6.580784474570236,1.2990642793908775,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,54.0,6.323707154591454,1.259331927126064,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,56.0,6.112562187271143,1.2066109756072012,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,58.0,5.821976427301461,1.1594258586447403,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,60.0,5.654069872180991,1.1161077943260724,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,62.0,5.419110998843315,1.0791815176996515,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,64.0,5.298083422015463,1.0458628281658304,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,66.0,5.124062720022536,1.020386424387656,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,68.0,5.066406213266163,1.0001769205018356,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,70.0,4.975940005274367,0.9908299161651433,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,72.0,4.996074733884099,0.9863622585738558,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,74.0,4.950232686435714,0.9856288988527109,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,76.0,4.995695578089902,0.9863790535304136,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,78.0,4.9615621786374415,0.9877803621281854,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,80.0,5.0111796600257765,0.9895497928382045,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,82.0,4.980804771776017,0.9914849928781264,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,84.0,5.031371734582848,0.9936720669964368,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,86.0,5.003608274917976,0.995876407857155,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,88.0,5.052690072706189,0.9980383349124798,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,90.0,5.02094741731113,0.9991588027755366,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,92.0,5.060635422343708,0.9997836783207114,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,94.0,5.026024715401613,0.9999810063846654,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,96.0,5.060777530818728,1.000006479528669,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,98.0,5.027184337348842,1.0000051757826214,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,100.0,5.05968459444405,1.0000029955995335,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,102.0,5.028319296924877,1.0000071235785863,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,104.0,5.05859083698058,1.000015964389084,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,106.0,5.0296200199623815,1.0000259146474215,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,108.0,5.057455758541247,1.0000361944218283,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,110.0,5.030964486452546,1.0000385539032672,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,112.0,5.056141068517962,1.0000350631188257,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,114.0,5.032252669270761,1.0000265177901415,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,116.0,5.05466274820808,1.0000143635536807,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,118.0,5.033565597841621,1.0000073445409041,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,2,120.0,5.053180422638746,1.0000042516455898,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,0.0,4.991985134543025,1.1009296412026335,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,2.0,5.01613104679549,1.1113157083690859,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,4.0,5.194854570339384,1.1453618833512744,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,6.0,5.472050422937676,1.2126458319752174,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,8.0,5.781399542011369,1.2743568986272875,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,10.0,6.004485813782614,1.3309724691072133,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,12.0,6.085575931774849,1.3410804103753853,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,14.0,5.778769630089497,1.2812428660176458,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,16.0,5.557863635208276,1.224511559027157,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,18.0,5.38321394014228,1.193805196705107,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,20.0,5.388078369561426,1.1868562155881521,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,22.0,5.456924353834942,1.2103971962151503,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,24.0,5.681357923232836,1.2512190826447587,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,26.0,5.940848983869578,1.3179792389161082,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,28.0,6.219053148014468,1.3694012198326644,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,30.0,6.263869878811142,1.3898705883835636,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,32.0,6.233917771809156,1.372465254699057,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,34.0,5.795920864649376,1.2862245069928298,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,36.0,5.420168729277507,1.1931523379482578,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,38.0,5.057403581525528,1.1224717445273928,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,40.0,4.887154844946376,1.0757001729352358,False
