arm,estimator,snr0,regime,family,hyperparameter,n_truths,L_stable_anchor,T_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,IN_CLASS_ID,correlated_extended_field,0.01,512,120.0,120.0,0.09636880714518953,0.09847278456594946,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,IN_CLASS_ID,rotating_asymmetric_crescent,0.01,512,120.0,120.0,0.10609527567152607,0.1727637987170656,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,IN_CLASS_ID,single_orbiting_hotspot,0.01,512,116.0,116.0,0.09439238458656618,0.11478962786853528,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,IN_CLASS_ID,two_independent_hotspots,0.01,512,88.0,88.0,0.11216537881510476,0.1554695294465765,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,IN_CLASS_OOD,moving_flare_birth_decay,0.01,1024,120.0,120.0,0.07843105097765715,0.07913338550038404,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,OFF_GRID_ID,correlated_extended_field,0.01,256,52.0,52.0,0.12108463770359817,0.124754477869536,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,OFF_GRID_ID,rotating_asymmetric_crescent,0.01,256,0.0,-1.0,0.19923445811472296,0.24125738934627416,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,OFF_GRID_ID,single_orbiting_hotspot,0.01,256,120.0,120.0,0.08023692420466352,0.08156010918914616,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,OFF_GRID_ID,two_independent_hotspots,0.01,256,120.0,120.0,0.10553123847567596,0.10888019279169711,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1.0,OFF_GRID_OOD,moving_flare_birth_decay,0.01,1024,120.0,120.0,0.055644720065966866,0.05567658711340662,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
