arm,estimator,snr0,regime,family,n_truths,L_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_ID,single_orbiting_hotspot,512,40.0,1.1001672319727867,1.3093378250866956,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_ID,two_independent_hotspots,512,0.0,1.1356149138122658,1.5948752985602241,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_OOD,moving_flare_birth_decay,512,68.0,1.0967501773064063,1.098426864975819,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_ID,correlated_extended_field,512,44.0,1.0619430296821242,1.0805136364602868,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_ID,rotating_asymmetric_crescent,512,0.0,1.1133359354423429,1.3543067789489007,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_ID,single_orbiting_hotspot,512,48.0,1.0587165158155822,1.0756615230050783,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_ID,two_independent_hotspots,512,44.0,1.073243356450265,1.1092903682975497,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_OOD,moving_flare_birth_decay,512,84.0,1.0462499911525558,1.0463864663856377,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,TSVD,100.0,IN_CLASS_ID,correlated_extended_field,512,80.0,0.2974134721108376,0.3003159686603576,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,TSVD,100.0,IN_CLASS_ID,rotating_asymmetric_crescent,512,80.0,0.30083832101614205,0.4811164170471263,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,TSVD,100.0,IN_CLASS_ID,single_orbiting_hotspot,512,80.0,0.2962967208179484,0.3539682963008649,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,TSVD,100.0,IN_CLASS_ID,two_independent_hotspots,512,80.0,0.2991236499950804,0.4218070950866794,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
