family,index,off_manifold,canary,age_M,level,multiplicity_label,centroid_r,centroid_phi,total_contrast,second_moment_rr,second_moment_pp,second_moment_rp,a_m1,a_m2,radial_mass_fraction_peak
two_hotspot_trajectories,7,False,False,4.0,2,2,20.77266542640762,5.922066516479538,35.588736189676645,0.014765326135869334,0.21220153540681913,0.003266937265622627,0.8981468446797072,0.6392686945267253,0.1715934835748206
two_hotspot_trajectories,7,False,False,6.0,2,2,20.77253579804266,5.901688680647513,35.5835722086532,0.014765610254929786,0.21224750601800174,0.00329396769128374,0.8981255478256107,0.6392015781144689,0.17159433244670524
two_hotspot_trajectories,7,False,False,8.0,2,2,20.772773837099002,5.881376045493109,35.58032688016716,0.014764850196820585,0.21235605409056516,0.0033389644529814824,0.8980766503112659,0.6390608062023426,0.1716086409672018
two_hotspot_trajectories,7,False,False,10.0,2,2,20.772788572496985,5.860996154047084,35.573905794805064,0.014766471515651282,0.2123728227137713,0.0033735348300900085,0.8980684204755692,0.6390302991078233,0.17159065402545368
two_hotspot_trajectories,7,False,False,12.0,2,2,20.77283984851913,5.84068316591823,35.56972801609895,0.014765068619642939,0.21245400083616925,0.003406713379822597,0.8980314629213118,0.6389201075182701,0.17161651799501632
two_hotspot_trajectories,7,False,False,14.0,2,2,20.77302072769618,5.820338031815307,35.564252096061075,0.014766894311378636,0.21250628031642854,0.0034525664338725687,0.8980076130809979,0.6388482922522888,0.17158796691580475
two_hotspot_trajectories,7,False,False,16.0,2,2,20.77291757162327,5.7999698428823905,35.55916304565419,0.014766314238301213,0.212566220839659,0.0034820878753465787,0.8979800978877401,0.6387640254130551,0.17160638060271535
two_hotspot_trajectories,7,False,False,18.0,2,2,20.773169564132306,5.779642668327487,35.55546045642016,0.01476616656762207,0.21267293669709741,0.003527195865761418,0.8979319862151431,0.6386251159487073,0.1716055278332874
two_hotspot_trajectories,7,False,False,20.0,2,2,20.773156799916684,5.759265049352544,35.54968995965668,0.014767200079486797,0.212718981117398,0.0035598619561117957,0.8979106920625836,0.638558291768954,0.1715890666634383
two_hotspot_trajectories,7,False,False,22.0,2,2,20.773262621938333,5.7389374588175714,35.5452937514661,0.014766036621892966,0.21280697282982347,0.003596963437690228,0.89787075467665,0.6384403700522086,0.17161553570072713
two_hotspot_trajectories,7,False,False,24.0,2,2,20.773410157514313,5.718597319727424,35.53946740248371,0.014767837111316,0.2128577934104129,0.0036378343966429697,0.8978474117909275,0.6383685826704731,0.17159324028021966
two_hotspot_trajectories,7,False,False,26.0,2,2,20.773371393878957,5.698263562749063,35.533408056133865,0.014767108831813279,0.21290063684651028,0.003670395289750691,0.8978274531524716,0.6383045543002448,0.171615988440487
two_hotspot_trajectories,7,False,False,28.0,2,2,20.773567453305592,5.677926037510615,35.52910914042936,0.014767723096798387,0.21300191641187305,0.003715332045423865,0.8977817570968868,0.6381722189477504,0.17160068016564173
two_hotspot_trajectories,7,False,False,30.0,2,2,20.77356315225144,5.657542258294601,35.52352908764353,0.014768113273094817,0.21306406100194572,0.003747459464530593,0.8977532499699854,0.6380850793213689,0.1715888813345141
two_hotspot_trajectories,7,False,False,32.0,2,2,20.77370605266926,5.637210550965187,35.51910823731343,0.014767255244566315,0.21316325551493437,0.0037861824688478953,0.8977083332755184,0.6379534890178993,0.1716140958665267
