run_id,config_hash,spatial_structure,gamma,attenuation,readout,retarded_age,class_dimension,epoch_energy_fraction,orders_covering,shallowest_covering_order,numerical_rank,operational_rank,sigma_max,sigma_min_positive,kappa_positive,trace_information,detectable
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,41,3,0.9996851542626777,1,5,1,0,1.3844728923525734e-17,1.3844728923525734e-17,1.0,1.9167651896591003e-34,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,42,3,0.9996636150299795,1,5,2,0,4.3031006309085605e-17,3.2273254731814204e-17,1.3333333333333333,2.893230474957133e-33,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,43,3,0.9995457127264703,1,5,2,0,4.3031006309085605e-17,2.1515503154542803e-17,2.0,2.3145843799657063e-33,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,0,3,0.9995457127264703,1,0,2,1,1.0506847243654192,0.9435515727431483,1.113542444013746,1.9942279604409054,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,1,3,0.9996636150299794,1,0,2,1,1.0545088036003325,0.9469857294342297,1.1135424440137465,2.0087707886226847,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,2,3,0.9996851542626778,1,0,2,1,1.087242389728292,0.9763816328449442,1.1135424440137467,2.1354171069790464,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,3,3,0.9996873239116093,1,0,2,2,1.203226344523095,1.0805392744492834,1.113542444013746,2.6153187597817937,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,4,3,0.999380503580925,2,0,2,2,1.3649251956761117,1.225750489362812,1.1135424440137467,3.3654850519646446,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,5,3,0.9993748857268744,2,0,2,2,1.461755234595541,1.3127072456498978,1.1135424440137467,3.859928678649206,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,6,3,0.9993748434258852,2,0,2,2,1.5089798459431454,1.3551165957393154,1.1135424440137465,4.11336116351071,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,7,3,0.9993748432949388,2,0,2,2,1.5971030687733512,1.4342543271333408,1.113542444013746,4.6078236871859675,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,8,3,0.9993748432947721,3,0,2,2,1.722337757410287,1.5467194507666429,1.1135424440137465,5.358788409980962,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,9,3,0.9993748432947722,3,0,2,2,1.800045940447649,1.61650411273001,1.1135424440137471,5.853250934195097,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,10,3,0.9993748432947721,3,0,2,2,1.8386019927491237,1.6511287940870143,1.1135424440137465,6.106683582404287,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,11,3,0.9993748432947721,3,0,2,2,1.911589737590683,1.716674337711266,1.1135424440137465,6.6011461066184305,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,12,3,0.9993748432947721,4,0,2,2,2.017395465241825,1.8116915759134915,1.1135424440137465,7.35211082941419,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,13,3,0.9993748432947722,4,0,2,2,2.0841311139895318,1.871622518920171,1.1135424440137465,7.846573353628333,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,14,3,0.9993748432947722,4,0,2,2,2.1175208146127478,1.9016076360593646,1.1135424440137465,8.100006001837519,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,15,3,0.9993748432947721,4,0,2,2,2.1811951855437424,1.9587894446857887,1.1135424440137465,8.59446852605166,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,16,3,0.9993748432947721,5,0,2,2,2.2744936965740523,2.042574765606307,1.1135424440137465,9.345433248846756,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,17,3,0.9993748432947722,5,0,2,2,2.3338893745391838,2.0959141585359915,1.113542444013747,9.839895772538537,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,18,3,0.9993748432947722,5,0,2,2,2.3637536714290968,2.1227333400143995,1.113542444013746,10.093328252003221,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,19,3,0.9993748432947721,5,0,2,2,2.4209578787607002,2.174104715788286,1.113542444013747,10.587768365946372,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,20,3,0.9993748432947721,6,0,2,2,2.505208348066595,2.2497645792796277,1.1135424440137467,11.3375095294038,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,21,3,0.9993748432947722,6,0,2,2,2.556283192116645,2.2956315727872587,1.1135424440137465,11.804508076275766,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,22,3,0.9993748432947722,6,0,2,2,2.556283192116645,2.2956315727872587,1.1135424440137465,11.804508076275766,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,23,3,0.9993748432947721,6,0,2,2,2.505208348066595,2.2497645792796277,1.1135424440137467,11.3375095294038,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,24,3,0.9993748432947721,5,1,2,2,2.4209578787607002,2.174104715788286,1.113542444013747,10.587768365946372,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,25,3,0.9993748432947719,5,1,2,2,2.3637536714290968,2.1227333400143986,1.1135424440137467,10.093328252003218,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,26,3,0.9993748432947719,5,1,2,2,2.3338893745391833,2.0959141585359924,1.1135424440137462,9.839895772538537,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,27,3,0.9993748432947721,5,1,2,2,2.2744936965740523,2.0425747656063065,1.1135424440137467,9.345433248846756,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,resolved,28,3,0.9993748432947721,4,2,2,2,2.1811951855437424,1.9587894446857887,1.1135424440137465,8.59446852605166,True
