regime,arm,estimator,snr0,family,index,selected_hyperparameter,old_band_feature_error,radial_error_old,angular_error_old_rad,t_birth_error,tau_decay_error
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,1,0.01,0.6306369116947318,0.5028830962854486,0.968777640575904,3.6,1.7
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,2,0.01,0.6352094616196962,0.5014053409565365,1.075084037195487,2.7,0.7
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,3,0.01,0.6859573168381774,0.2790451739475759,2.1819110938906587,3.0,3.5
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,4,0.01,0.6430749639220104,0.49778642221573777,1.0442622884473116,3.2,3.8
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,5,0.01,0.6351753450051508,0.47912789105901465,0.9501846631328974,2.6,1.6
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,6,0.01,0.6441841569495547,0.4810704506750262,1.058321211612724,2.6,1.9
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,7,0.01,0.6611144418100563,0.39859840630849575,1.3376498902848797,2.8,0.6
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,0,0.01,0.800553402596956,0.5019268954643163,2.1550822752191414,4.0,2.3
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,1,0.01,0.7522250390800113,0.5019854088339475,1.613091094735154,3.6,2.8
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,2,0.01,0.7885260722951174,0.47709015105240604,1.9524401774307556,4.2,3.6
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,3,0.01,0.737198029909732,0.5299378010517601,1.1829418778004779,4.3,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,4,0.01,0.6553690474034342,0.0983701100485921,1.5420882318646347,3.6,2.5
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,5,0.01,0.7311572218306139,0.5024827216100387,1.4806449232023613,4.4,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,6,0.01,0.745815681772796,0.4489343339781029,1.837946115091435,3.6,1.8
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,7,0.01,0.733496960268335,0.5019403235859905,1.2843988376235722,3.9,2.0
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,0,0.01,0.7656948448469096,0.5151602138147464,2.420138080702453,3.7,1.0
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,1,0.01,0.7664467036740877,0.5192301164939194,1.8390352898898346,3.8,2.5
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,2,0.01,0.8014132909768907,0.5172773181249275,1.2393867664680362,2.7,0.8
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,3,0.01,0.6666441176010223,0.4860645454628977,0.8716541777326887,4.3,4.6
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,4,0.01,0.6564254195656769,0.48053673925930407,1.4316506104417148,2.8,0.3
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,5,0.01,0.7858728471992703,0.8267790756355311,1.368031590377587,3.2,0.6
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,6,0.01,0.7875609122142493,0.48989196763789267,2.6954571046881415,3.3,3.0
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,7,0.01,0.6674244516353062,0.5030435626365211,1.3905122012005915,3.7,4.9
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,0,1e-05,0.7644770164076975,0.5833911183129026,1.5470275339418937,3.8,0.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,1,1e-05,0.6710104398521346,0.49999999999999994,1.4954182636517526,3.4,0.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,2,1e-05,0.6427362922764255,0.4994077383770386,0.6841113391123745,3.2,3.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,3,1e-05,0.7161578903966527,0.364145651821453,2.411903316254687,5.4,4.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,4,1e-05,0.6731525790744343,0.49999999999999994,1.3025050482759062,3.8,0.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,5,1e-05,0.69951681658843,0.1508190783086762,1.9406633987078894,4.1,2.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,6,1e-05,0.7387313913248217,0.5253388452441837,1.8185743919349204,3.9,6.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,7,1e-05,0.7073021921478777,0.392776963027451,2.2004629537292137,3.5,5.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,0,1e-05,0.5590777316584772,0.5374546304273959,1.8030965212860912,2.1,0.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,1,1e-05,0.4611437477751491,0.26762978553469063,1.6867808498649992,1.4,1.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,2,1e-05,0.5162146938393726,0.3928954897685023,1.6642812089004235,1.6,1.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,3,1e-05,0.5194877706571707,0.4770758858374144,1.6832689644949492,0.3,0.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,4,1e-05,0.370974356149377,0.2167706479688483,1.4556931762117926,0.7,0.8
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,5,1e-05,0.45060936231508586,0.6355115086481258,1.5044497847602787,0.0,1.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,6,1e-05,0.5098652074709096,0.5495050234498743,2.107351000064817,1.0,0.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,7,1e-05,0.5392800349545637,0.43749999999999994,0.9634210457626077,1.3,0.9
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,0,1e-05,0.694000208490435,0.14918758671710758,1.0884944387142041,3.2,3.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,1,1e-05,0.6731738742910713,0.32066193745661575,1.3752189439461648,3.2,5.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,2,1e-05,0.7156441808481964,0.49191212351851,1.76517236079029,5.7,3.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,3,1e-05,0.6331831289666638,0.40518774501836186,1.1560150575820505,3.6,1.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,4,1e-05,0.687581886078167,0.4478598566997729,1.3972804768896911,2.7,2.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,5,1e-05,0.6144286948999992,0.4817592908467266,0.7052260393297851,3.0,0.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,6,1e-05,0.675723836760483,0.4761118208663664,1.2340398649523587,3.9,3.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,7,1e-05,0.6670569559806957,0.44925988727957056,1.3891124429180366,3.8,4.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,0,1e-05,0.6617932091121761,0.48117542540340896,0.88551845421849,3.9,4.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,1,1e-05,0.6636924195801378,0.4971169037145514,1.3304292461608778,3.3,2.9
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,2,1e-05,0.7948924693113109,0.49190738681734025,1.7791995490571786,3.2,2.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,3,1e-05,0.6786604496070898,0.4283748301012791,1.3998922315408373,3.3,5.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,4,1e-05,0.6882990437859787,0.4973801484479104,1.9844907120001212,3.3,4.8
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,5,1e-05,0.6301825071626922,0.47912789105901465,0.8746450129335361,2.9,1.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,6,1e-05,0.6812720424630959,0.6178358460961804,1.696631779978337,3.3,1.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,7,1e-05,0.6427105293909758,0.3824367751485852,1.0947446961906984,3.8,2.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,0,1e-05,0.7601397419508283,0.5134443912481245,1.92050439201991,3.9,2.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,1,1e-05,0.7390497762217692,0.6159930231527349,1.2697197076311897,3.6,2.9
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,2,1e-05,0.7658301735990508,0.37618910293921926,1.4216590128670061,3.3,3.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,3,1e-05,0.715132401303632,0.5299378010517601,1.130280089318506,3.9,2.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,4,1e-05,0.6766225250796478,0.11146438930105013,1.5519445710762636,3.5,2.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,5,1e-05,0.674105701702884,0.49999999999999994,1.4254488407705133,4.4,2.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,6,1e-05,0.7670188729398681,0.5915290294080657,1.5826846740313465,3.3,0.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,7,1e-05,0.7081415504322907,0.49999999999999994,1.9444233107362054,3.8,2.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,0,1e-05,0.722137862127513,0.5303265050079953,2.0819296204392908,3.3,1.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,1,1e-05,0.6815544129287725,0.49999999999999994,1.0329697826024835,3.9,2.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,2,1e-05,0.9177511253328489,0.1125542478704708,1.483124461108625,2.6,0.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,3,1e-05,0.7082063874459864,0.4864918970329321,1.6660896270122534,3.9,4.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,4,1e-05,0.7308405303731025,0.5268597985522884,0.8207877942425723,2.7,0.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,5,1e-05,0.7869227762868299,0.8679791337515488,1.6080515271854618,3.2,3.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,6,1e-05,0.687808461671669,0.5293813247010006,1.1940210491700167,3.1,2.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,7,1e-05,0.7341163683176337,0.3779593554479077,2.0451897923060525,3.2,4.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,0,1e-05,0.7614846752093305,0.6762159573374371,1.3049083822214265,3.8,0.1
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,1,1e-05,0.6706511461551469,0.49999999999999994,1.4713387533226083,3.4,0.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,2,1e-05,0.6607052888561981,0.4997930826070878,0.9753369225159154,3.1,3.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,3,1e-05,0.7094518692420257,0.4224563991793132,1.9343525845657243,5.4,4.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,4,1e-05,0.596562226889435,0.2000939880873559,0.5685679036041879,3.8,0.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,5,1e-05,0.6904285429679071,0.4658891300639363,1.2697416275976532,4.0,2.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,6,1e-05,0.7924172466432962,0.4987356315967926,2.2273953225417356,3.9,6.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,7,1e-05,0.7269478765360193,0.40687203751041073,2.294323489224308,3.4,5.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,0,1e-05,0.4863266718541761,0.25998388828903296,1.1789285234772788,2.1,0.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,1,1e-05,0.5006485166737775,0.4846168087971228,1.5085142895845665,1.7,0.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,2,1e-05,0.5487439621356136,0.4785790979537004,1.6826738703543158,1.6,0.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,3,1e-05,0.5795882428637302,0.4932368111313093,1.9169249341492842,0.1,1.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,4,1e-05,0.31298304857874026,0.17307013255337367,1.3923769779564887,0.7,0.7
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,5,1e-05,0.4630601176253657,0.637768094433319,1.23501526252589,0.1,1.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,6,1e-05,0.49039759634215285,0.448393940727993,2.0929377393125494,1.1,0.6
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,7,1e-05,0.5074697610708463,0.43749999999999994,0.8893995939830639,1.2,0.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,0,1e-05,0.654774073548468,0.13557869549017873,1.3411819135525678,3.2,3.4
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,1,1e-05,0.6509089166601079,0.32788389185583466,1.2689681262572083,3.2,5.3
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,2,1e-05,0.7068801764697334,0.48382424703702,1.7546011826547678,5.7,3.2
