family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
circular_hotspot_trajectory,12,4664861580217322463,False,False,1,61,61,0,0,0,0,0.007680491551460393,0.25011795207556126,0,0.010498108460164947,0.40393335063752045
circular_hotspot_trajectory,13,2143618573429659320,False,False,1,61,61,0,0,0,0,0.2752684850399843,0.2752684850399884,0,0.06343129852067976,0.5471392976086746
circular_hotspot_trajectory,14,8812688522034567254,False,False,1,61,61,0,0,0,0,0.1382488479262648,0.2856794426502217,0,0.03915400484484617,0.3705463663659498
circular_hotspot_trajectory,15,1137120150395557271,False,False,1,61,61,0,0,0,0,0.15360983102918657,0.29342116520253947,0,0.13583485857308783,0.42523318405959404
circular_hotspot_trajectory,16,2117477913064619065,False,False,1,61,61,0,0,0,0,0.25571567721422445,0.25571567721422445,0,0.0451977302935299,0.782985164857666
circular_hotspot_trajectory,17,5264324958714550391,False,False,1,61,61,0,0,0,0,0.03840245775729587,0.25293230074824685,0,0.04808441564648818,0.7875964207952253
circular_hotspot_trajectory,18,6634371194361615990,False,False,1,61,61,0,0,0,0,0.34523809523809385,0.34523809523809545,0,0.01837039547038069,0.7490614362655063
circular_hotspot_trajectory,19,6271936049693780329,False,False,1,61,61,0,0,0,0,0.24577572964669944,0.35057910560010463,0,0.01599688554433073,0.6694536037085357
circular_hotspot_trajectory,20,4600246909867470921,False,False,1,61,61,0,0,0,0,0.2688172043010746,0.36710038045233284,0,0.013217571563786204,0.3049612423409869
circular_hotspot_trajectory,21,5924082295560067376,False,False,1,61,61,0,0,0,0,0.023041474654377093,0.2510595737155805,0,0.0423840593855046,0.7781617626421928
circular_hotspot_trajectory,22,5770231095913511516,False,False,1,61,61,0,0,0,0,0.25293230074824463,0.2529323007482491,0,0.01365241152611049,0.40891506941548633
circular_hotspot_trajectory,23,6764797951676310468,False,False,1,61,61,0,0,0,0,0.29751397976930066,0.29751397976930444,0,0.026464604633223927,0.3323730946759395
two_hotspot_trajectories,0,4700349137479159666,False,False,2,61,0,61,0,0,0,0.13414664192558332,0.25170188788731296,0,0.022395383168111144,0.7982132805532847
two_hotspot_trajectories,1,8077410777590735590,False,False,2,61,0,61,0,0,0,0.2449879215797629,0.29855935015119217,0,0.020428513051066337,0.3351849905464262
two_hotspot_trajectories,2,287309778946571039,False,False,2,61,0,61,0,0,0,0.2678046089322688,0.32137603750369914,0,0.0231018790871591,0.5658122591566921
two_hotspot_trajectories,3,7839734177387061163,False,False,2,61,0,0,61,0,0,0.11520737327188958,0.27526848503998635,0,0.06256748395904055,0.48016906939782666
two_hotspot_trajectories,4,5089123062031622561,False,False,2,61,0,61,0,0,0,0.1386266363022117,0.25263568583281226,0,0.04232328089779133,0.6711418710295138
two_hotspot_trajectories,5,5426389552595111527,False,False,2,61,0,61,0,0,0,0.28529451023396296,0.33769619821066643,0,0.025775744107402736,0.6365340740761194
two_hotspot_trajectories,6,2202293204215879271,False,False,2,61,0,61,0,0,0,0.13737068584948384,0.2549259318112112,0,0.03924558228335181,0.5514907216273641
two_hotspot_trajectories,7,5558891384009097516,False,False,2,61,0,0,61,0,0,0.2574400062737139,0.25744000627371827,0,0.03562746939422791,0.5416996039807205
