class,arm,estimator,snr0,n_truths,PHYSICAL_END_TO_END_direct,PHYSICAL_END_TO_END_arm,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_ci_high,PHYSICAL_END_TO_END_improves,CLASS_CONDITIONAL_direct,CLASS_CONDITIONAL_arm,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_ci_high,CLASS_CONDITIONAL_improves,stable_multi_direct,stable_multi_arm,n_stable_multi_truths
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,36,0.7306909916080256,0.7224107416659723,-0.02005041521875822,-0.061286803660184214,0.020239394502561493,False,0.7262787344028974,0.7212383604008588,-0.01655398406942947,-0.0697439848303838,0.020114568755520756,False,,,0
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,36,0.7306909916080256,0.712997100355672,0.0,0.0,0.00018247655077683217,False,0.7262787344028974,0.7084205263099062,0.0,0.0,0.00038724209093046817,False,,,0
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,36,0.8160648436459769,0.7395582215976361,0.08853205556034516,0.027506368332205967,0.126709776336252,True,0.8213729121598642,0.7177542637554795,0.11563265625338554,0.049808986559813924,0.16413972590997067,True,1.492847254775324,1.8687058524694795,12
L448_contrast,TOTAL_FLUX,TSVD,100.0,36,0.8160648436459769,0.7607468162246996,0.05365776685951851,0.026109575767945963,0.07509101353065704,True,0.8213729121598642,0.7685655280480422,0.05215894344984345,0.029595805823461843,0.06444786088214047,True,1.492847254775324,1.4785712347386415,12
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,36,0.8160648436459769,0.806888768129888,0.0,-0.0003015159970341929,0.0012556033307199782,False,0.8213729121598642,0.8066501236714667,0.0,-0.00030479356874266275,0.0010155282329029358,False,1.492847254775324,1.4954256654449967,12
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,36,0.771398128727929,0.7043474901909013,0.07099610352538066,0.03806646705763219,0.12899861153763717,True,0.7714177714415975,0.6835729067518512,0.09543611082100403,0.07360593731658127,0.1471853733323246,True,,,0
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,36,0.771398128727929,0.7568121251124807,0.0032601514475219403,-0.06822382832177577,0.05106873891410213,False,0.7714177714415975,0.76469305200312,-0.004453216510546745,-0.07765401367207735,0.04937731280911346,False,,,0
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,36,0.771398128727929,0.753886292052428,0.0,-1.28472330477099e-05,0.0007774165683952338,False,0.7714177714415975,0.7546727898038933,0.0,-0.00011452910735928559,0.00017039534777828701,False,,,0
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,36,0.8205012870182472,0.7407260309782528,0.10800118573704258,0.03076654065878884,0.14525182425158245,True,0.8265810799247424,0.7160037797245304,0.12721514018084873,0.05243600613522745,0.17876388177091612,True,,,0
L448_contrast,TOTAL_FLUX,TSVD,1000.0,36,0.8205012870182472,0.7460158074670742,0.07673159938379524,0.033409605025881965,0.12113204268088576,True,0.8265810799247424,0.7560538575050554,0.06488564053253025,0.031173330978984625,0.08872757320027726,True,,,0
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,36,0.8205012870182472,0.810273752693887,0.0,0.0,0.002403758558055633,False,0.8265810799247424,0.8111205298649273,0.0,-1.4057858794948998e-05,0.00036255747542317447,False,,,0
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,36,0.7733380609131654,0.7040661186798061,0.10128586643862723,0.04709185907964209,0.15147857832243714,True,0.7746651580886097,0.6799093581418257,0.12982420690627294,0.07977888659013904,0.16369378242613503,True,,,0
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,36,0.7733380609131654,0.7491573228139463,0.001037625268091467,-0.05764266722413661,0.08479198277776677,False,0.7746651580886097,0.7589758960039992,-0.002944370697700258,-0.07551204466163494,0.06903829644420643,False,,,0
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,36,0.7733380609131654,0.756209549325058,7.469448328529263e-05,0.0,0.0005037604361226211,False,0.7746651580886097,0.7581256274660476,0.0,0.0,0.0003213858914612449,False,,,0
