family,index,off_manifold,canary,age_M,peak,cardinality,peak_r,peak_phi,peak_amplitude,peak_prominence
two_hotspot_trajectories,0,False,False,36.0,1,2,29.659534639761464,3.1906800388021335,0.17953779626129013,0.18896768397230984
two_hotspot_trajectories,0,False,False,38.0,0,2,40.56525264457996,5.841398840268521,0.18689544918679796,0.24786772886165764
two_hotspot_trajectories,0,False,False,38.0,1,2,29.659534639761464,3.1906800388021335,0.1796796077359512,0.18919814146463637
two_hotspot_trajectories,0,False,False,40.0,0,2,40.56525264457996,5.841398840268521,0.18698232986488142,0.2479544150401342
two_hotspot_trajectories,0,False,False,40.0,1,2,29.659534639761464,3.1906800388021335,0.17969447648085005,0.18929600673526586
two_hotspot_trajectories,0,False,False,42.0,0,2,40.56525264457996,5.841398840268521,0.1870283029484919,0.24800028644897149
two_hotspot_trajectories,0,False,False,42.0,1,2,29.659534639761464,3.1906800388021335,0.17958237725596296,0.1890712385199585
two_hotspot_trajectories,0,False,False,44.0,0,2,40.56525264457996,5.841398840268521,0.18703334562925558,0.24800519751210665
two_hotspot_trajectories,0,False,False,44.0,1,2,29.659534639761464,3.141592653589793,0.17950920481827337,0.18895353662254866
two_hotspot_trajectories,0,False,False,46.0,0,2,40.56525264457996,5.841398840268521,0.18699745540337973,0.24796914695310507
two_hotspot_trajectories,0,False,False,46.0,1,2,29.659534639761464,3.141592653589793,0.17966798698970315,0.18920234623850607
two_hotspot_trajectories,0,False,False,48.0,0,2,40.56525264457996,5.841398840268521,0.1869206500815839,0.24789215373313153
two_hotspot_trajectories,0,False,False,48.0,1,2,29.659534639761464,3.141592653589793,0.17969984615706383,0.18931856223823554
two_hotspot_trajectories,0,False,False,50.0,0,2,40.56525264457996,5.792311455056181,0.18687320151708944,0.24784449082567794
two_hotspot_trajectories,0,False,False,50.0,1,2,29.659534639761464,3.141592653589793,0.1796047282392142,0.1893023481288363
two_hotspot_trajectories,0,False,False,52.0,0,2,40.56525264457996,5.792311455056181,0.18696824717711658,0.24793937950122102
two_hotspot_trajectories,0,False,False,52.0,1,2,29.659534639761464,3.0925052683774528,0.17947834583979724,0.18914840990012718
two_hotspot_trajectories,0,False,False,54.0,0,2,40.56525264457996,5.792311455056181,0.18702239222415015,0.2479934084984079
two_hotspot_trajectories,0,False,False,54.0,1,2,29.659534639761464,3.0925052683774528,0.17965409388332945,0.18920276684554904
two_hotspot_trajectories,0,False,False,56.0,0,2,40.56525264457996,5.792311455056181,0.1870356098023225,0.24800648021419014
two_hotspot_trajectories,0,False,False,56.0,1,2,29.659534639761464,3.0925052683774528,0.17970294250482644,0.18933731707652646
two_hotspot_trajectories,0,False,False,58.0,0,2,40.56525264457996,5.792311455056181,0.18700789334983695,0.24797858937947342
two_hotspot_trajectories,0,False,False,58.0,1,2,29.659534639761464,3.0925052683774528,0.17962480878476983,0.18933941148857353
two_hotspot_trajectories,0,False,False,60.0,0,2,40.56525264457996,5.792311455056181,0.18693925662356886,0.24790975096390042
two_hotspot_trajectories,0,False,False,60.0,1,2,29.659534639761464,3.043417883165112,0.17944522026325857,0.18923479075553745
two_hotspot_trajectories,0,False,False,62.0,0,2,40.56525264457996,5.743224069843841,0.1868493244435202,0.24781959095989214
two_hotspot_trajectories,0,False,False,62.0,1,2,29.659534639761464,3.043417883165112,0.17963792883907895,0.18948415843901026
two_hotspot_trajectories,0,False,False,64.0,0,2,40.56525264457996,5.743224069843841,0.18695253320785635,0.2479226775972232
two_hotspot_trajectories,0,False,False,64.0,1,2,29.659534639761464,3.043417883165112,0.17970376543003472,0.1894308856789325
two_hotspot_trajectories,0,False,False,66.0,0,2,40.56525264457996,5.743224069843841,0.18701484914735347,0.24798486385090746
two_hotspot_trajectories,0,False,False,66.0,1,2,29.659534639761464,3.043417883165112,0.17964261828243205,0.18937270323547611
two_hotspot_trajectories,0,False,False,68.0,0,2,40.56525264457996,5.743224069843841,0.18703624136159103,0.24800609677650476
two_hotspot_trajectories,0,False,False,68.0,1,2,29.659534639761464,3.043417883165112,0.17945459119064028,0.1892609326937263
two_hotspot_trajectories,0,False,False,70.0,0,2,40.56525264457996,5.743224069843841,0.1870166992313018,0.24798636711376762
two_hotspot_trajectories,0,False,False,70.0,1,2,29.659534639761464,2.9943304979527716,0.17961949234820787,0.18949701883774353
two_hotspot_trajectories,0,False,False,72.0,0,2,40.56525264457996,5.743224069843841,0.1869562324573852,0.24792568584145314
two_hotspot_trajectories,0,False,False,72.0,1,2,29.659534639761464,2.9943304979527716,0.1797023149076624,0.1896461580325338
two_hotspot_trajectories,0,False,False,74.0,0,2,40.56525264457996,5.743224069843841,0.18685487102523282,0.2478241053939264
two_hotspot_trajectories,0,False,False,74.0,1,2,29.659534639761464,2.9943304979527716,0.17965815619096454,0.18955930291021023
two_hotspot_trajectories,0,False,False,76.0,0,2,40.56525264457996,5.6941366846315,0.18693518826767366,0.24790431098997467
two_hotspot_trajectories,0,False,False,76.0,1,2,29.659534639761464,2.9943304979527716,0.17948709115700232,0.18930873000830004
two_hotspot_trajectories,0,False,False,78.0,0,2,40.56525264457996,5.6941366846315,0.1870056738665278,0.24797465416345146
two_hotspot_trajectories,0,False,False,78.0,1,2,29.659534639761464,2.945243112740431,0.17959878497096274,0.18949286245849645
two_hotspot_trajectories,0,False,False,80.0,0,2,40.56525264457996,5.6941366846315,0.18703524029250038,0.2480040488531048
two_hotspot_trajectories,0,False,False,80.0,1,2,29.659534639761464,2.945243112740431,0.17969859098177504,0.18966022032358715
two_hotspot_trajectories,0,False,False,82.0,0,2,40.56525264457996,5.6941366846315,0.18702387287107486,0.24799248180879357
two_hotspot_trajectories,0,False,False,82.0,1,2,29.659534639761464,2.945243112740431,0.17967142203813524,0.18969591488470855
two_hotspot_trajectories,0,False,False,84.0,0,2,40.56525264457996,5.6941366846315,0.1869715772458158,0.2479399600187594
two_hotspot_trajectories,0,False,False,84.0,1,2,29.659534639761464,2.945243112740431,0.17951732425965078,0.18958762079326968
two_hotspot_trajectories,0,False,False,86.0,0,2,40.56525264457996,5.6941366846315,0.18687837935668286,0.24784657197576665
two_hotspot_trajectories,0,False,False,86.0,1,2,29.659534639761464,2.8961557275280905,0.17957580733659262,0.18952887057121426
two_hotspot_trajectories,0,False,False,88.0,0,2,40.56525264457996,5.64504929941916,0.186916212698657,0.2478842816662239
two_hotspot_trajectories,0,False,False,88.0,1,2,29.659534639761464,2.8961557275280905,0.17969259376557878,0.1896705464547138
two_hotspot_trajectories,0,False,False,90.0,0,2,40.56525264457996,5.64504929941916,0.18699486656311545,0.24796278142153327
two_hotspot_trajectories,0,False,False,90.0,1,2,29.659534639761464,2.8961557275280905,0.17968241542077695,0.18972443289545554
two_hotspot_trajectories,0,False,False,92.0,0,2,40.56525264457996,5.64504929941916,0.18703260661574897,0.24800033842940022
two_hotspot_trajectories,0,False,False,92.0,1,2,29.659534639761464,2.8961557275280905,0.17954528958017862,0.18964685934126016
