geometry,spin,inclination_deg,arm,support,r_inner,r_outer,rays_per_order,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information,J_old_at_reference_snr,T_rec_at_reference_snr,T_rec_right_censored
a000_i020,0.0,20,SPATIAL_ONLY,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,140,0,11530.00399568483,1.3141791232912354e-06,8773540677.475567,5.745800477941963,41.810930703238895,763852416.1790106,15.057963925495711,20.0,False
a000_i020,0.0,20,SPATIAL_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,140,0,11530.00399568483,1.3141791232912354e-06,8773540677.475567,5.745800477941963,41.810930703238895,763852416.1790106,15.057963925495711,20.0,False
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,217,0,12777.519547280877,0.4034601929559844,31669.839479491955,14.91499367348668,104.1625748779065,2435096528.327543,439.7660286433471,96.0,False
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,217,0,12777.519547280877,0.4034601929559844,31669.839479491955,14.91499367348668,104.1625748779065,2435096528.327543,439.7660286433471,96.0,False
a000_i020,0.0,20,PAIRING_DESTROYED,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,220,0,10139.422027076687,0.5615341273067829,18056.64434984059,7.425720589964986,76.56365728525317,763422584.2214818,57.10823154509926,44.0,False
a000_i020,0.0,20,PAIRING_DESTROYED,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,220,0,10139.422027076687,0.5615341273067829,18056.64434984059,7.425720589964986,76.56365728525317,763422584.2214818,57.10823154509926,44.0,False
a050_i050,0.5,50,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,153,0,12311.040293547552,1.0852367084276049e-05,1134410603.5064893,5.835830496026721,43.393305471948736,884488467.3936057,8.78362321221232,60.0,False
a050_i050,0.5,50,DIRECT_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,157,0,11778.941497923981,1.9285111735989025e-05,610779012.285557,6.009113225799245,44.9846216491754,833725177.3738643,8.745906536308052,60.0,False
a050_i050,0.5,50,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,201,0,12321.319007162905,0.017512826733048308,703559.69341668,5.8915873779399375,53.15247714907294,894430760.8557628,41.213556235894124,84.0,False
a050_i050,0.5,50,RESOLVED_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,202,0,11788.857531034788,0.030753778840503832,383330.37355098745,6.067004747355181,55.21010772060303,843175100.9425948,40.10649950282469,84.0,False
a050_i050,0.5,50,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,181,0,12212.337062726765,0.0017276255708089888,7068856.394043843,5.8096380773978815,44.76067581388855,866456258.0978112,10.085422769360788,60.0,False
a050_i050,0.5,50,UNRESOLVED_IMAGE,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,185,0,11687.337172280975,0.0029052469012043965,4022837.841229908,5.980998292351662,46.327946370270524,816967584.6638297,9.852329134827917,60.0,False
a050_i050,0.5,50,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,24,13,200,10258.311208860474,9.844693530258114e-06,1042014276.7604789,1.1744988530640237,3.276698039379982,123595977.73806925,7.174503257739046,56.0,False
a050_i050,0.5,50,TOTAL_FLUX,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,24,14,200,9798.182512293064,1.2967150666775502e-05,755615691.0706695,1.188584325547498,3.3387198870240695,114109301.89873996,7.013191645552194,56.0,False
a050_i050,0.5,50,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,214,0,12328.439880064385,0.15743135502931097,78309.93945119157,5.882652822391978,55.59924942820449,894106931.2887505,41.213556235894124,84.0,False
a050_i050,0.5,50,DELAY_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,216,0,11796.493228857544,0.22115742411092726,53339.802072123544,6.056839008714408,57.2447651537254,842853075.2783256,40.10649950282469,84.0,False
a050_i050,0.5,50,SPATIAL_ONLY,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,177,0,12333.788688773671,0.0010318857263622793,11952669.150928313,5.87960514789911,50.2584334180802,894419313.4787182,8.827845281086653,60.0,False
a050_i050,0.5,50,SPATIAL_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,182,0,11801.683360297251,0.0015522316421431148,7603042.6386638135,6.053692490105934,52.237476423926225,843156656.352625,8.783694868825249,60.0,False
a050_i050,0.5,50,EQUALIZED_ORDER_SENSITIVITY,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,216,0,15621.23105504729,0.3320093176041873,47050.5802902511,10.926880345691085,96.11726123447139,2666408589.2839913,305.41982483204475,120.0,False
a050_i050,0.5,50,EQUALIZED_ORDER_SENSITIVITY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,218,0,14940.760050894616,0.5197567932980559,28745.675368838896,11.325118239822876,99.27383948493079,2528064365.163938,297.0843031530607,116.0,False
a050_i050,0.5,50,PAIRING_DESTROYED,PRIMARY_GEOMETRY_DEPENDENT,1.8660386527060988,49.98205255591607,1536,224,221,0,9444.829552320032,0.45018266924906813,20979.993672512046,10.028610413616656,93.01959349320066,894600239.0992142,29.373949060084456,72.0,False
a050_i050,0.5,50,PAIRING_DESTROYED,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1459,224,221,0,9273.068836987304,0.8415793760101427,11018.650291729044,9.798237297514929,93.77721606332675,842548520.97983,28.98725332470901,72.0,False
a098_i075,0.98,75,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,224,156,0,15449.872458525613,0.00021366829235836574,72307745.28123713,4.5078879441680035,39.95618011030751,1076026356.3374414,5.241904942764881,140.0,False
a098_i075,0.98,75,DIRECT_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,224,156,0,12791.132496765898,0.0002523729394032588,50683454.917990826,4.55265872402121,41.91373341034891,744874473.0025384,4.883784741144444,140.0,False
a098_i075,0.98,75,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,224,193,0,15941.808117215527,0.0021159920039664623,7533964.25285745,4.417489427623621,48.67281284312358,1122666267.5318234,16.218108354101457,144.0,False
a098_i075,0.98,75,RESOLVED_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,224,188,0,13182.721693127121,0.0015802181379825195,8342342.981809863,4.4582569819910365,48.37792101681043,774774405.618181,13.34227985049091,144.0,False
a098_i075,0.98,75,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,224,174,0,15369.801997903385,0.0008389232821915915,18320867.14502848,4.291339823693301,41.62532304880625,1013746697.361853,6.372550297252317,140.0,False
a098_i075,0.98,75,UNRESOLVED_IMAGE,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,224,171,0,12738.304411316965,0.0005566688408601719,22883092.201879974,4.3428375078561645,42.977514298881076,704687919.3628571,5.6499504831996,140.0,False
a098_i075,0.98,75,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,24,12,200,12395.376629471357,1.2040339083862381e-06,10294873377.847664,1.1299050154920987,3.3046744427436714,173604664.8896019,2.1623436444582524,136.0,False
a098_i075,0.98,75,TOTAL_FLUX,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,24,12,200,10190.714407614618,1.2260379248527717e-06,8311907976.9399185,1.134584938181535,3.365172590527302,117827394.81228982,1.7585281571837792,136.0,False
a098_i075,0.98,75,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,224,193,0,15726.315471416134,0.0018472356419656486,8513432.241206497,4.549831470922718,52.447211958568246,1125250662.1890655,16.218108354101457,144.0,False
a098_i075,0.98,75,DELAY_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,224,193,0,13006.916255846523,0.0028334656062870924,4590462.0218385095,4.591755793737784,54.63510337820996,776832650.4906744,13.34227985049091,144.0,False
a098_i075,0.98,75,SPATIAL_ONLY,PRIMARY_GEOMETRY_DEPENDENT,1.1998445795166117,49.976706382271416,1536,224,207,0,15662.761608465782,0.24150086105958898,64855.924487163975,4.576799036717937,55.39388936605106,1122789956.4743924,5.387857718222793,140.0,False
a098_i075,0.98,75,SPATIAL_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1098,224,205,0,12955.41572280348,0.14505511096220422,89313.74866328677,4.616498578866625,55.251117534404685,774846031.7491386,5.022375790948105,140.0,False
