geometry,spin,inclination_deg,window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_sensitivity_matched_0_to_1,Gamma_sensitivity_matched_0_to_1_status,Gamma_sensitivity_matched_1_to_2,Gamma_sensitivity_matched_1_to_2_status
a000_i075,0.0,75,0.05,44.10195786690544,120.80494931827234,105.70968844246434,14.5151702798936,121.88622857441848,0.24283740417267757,1.0594914635631414,ok,2.0452787534726062,ok
a000_i075,0.0,75,0.1,49.14043957754611,119.5524562766183,108.5027595966838,12.81521432984394,124.48339857401432,0.21426291661927716,1.116561077558471,ok,2.0455922601563143,ok
a000_i075,0.0,75,0.15,54.17892128818679,118.44750010016615,111.29583075090326,10.851463374728004,127.08056857361014,0.1764996228286375,1.195084940568565,ok,2.0593682418490045,ok
a000_i075,0.0,75,0.2,59.21740299882747,118.71385716174534,114.08890190512273,9.149093426735094,129.67773857320597,0.1454705903267949,1.281530620255495,ok,2.0707180682364434,ok
a000_i075,0.0,75,0.25,64.25588470946815,122.3846316890841,116.88197305934219,7.750735292740584,132.2749085728018,0.12273531522731253,1.3796905443760037,ok,2.0727564331803716,ok
a000_i075,0.0,75,0.3,69.29436642010883,135.62094032042535,119.67504421356165,6.730654716865848,134.8720785723976,0.1046021721370291,1.5015956842311737,ok,2.082131691850813,ok
a000_i075,0.0,75,0.35,74.33284813074951,155.00839193464782,122.46811536778111,5.989220452514978,137.46924857199343,0.09052945311144772,1.6267589973962966,ok,2.096020647326422,ok
a000_i075,0.0,75,0.39999999999999997,79.37132984139018,194.8625545872396,125.26118652200057,5.403552466989728,140.06641857158928,0.0792084385473494,1.792618930120549,ok,2.111364520026127,ok
a000_i075,0.0,75,0.44999999999999996,84.40981155203086,219.23594259810767,128.05425767622003,4.892577013048458,142.6635885711851,0.0706064597363682,1.9012146760661814,ok,2.1191764010963157,ok
a000_i075,0.0,75,0.49999999999999994,89.44829326267154,226.3819096104903,130.8473288304395,4.3236668351548,145.26075857078092,0.06179933699012934,1.979059795964976,ok,2.1239832447751663,ok
a000_i075,0.0,75,0.5499999999999999,94.48677497331221,227.99195049123966,133.64039998465896,3.6177175388634177,147.85792857037674,0.05368873532336417,2.0717335053071486,ok,2.1051976914203956,ok
a000_i075,0.0,75,0.6,99.5252566839529,207.21305316980323,136.43347113887842,2.924370315150055,150.45509856997256,0.047429096309797275,2.1303341628440755,ok,2.060799286523008,ok
a000_i075,0.0,75,0.65,104.56373839459359,181.71268192543846,139.22654229309788,2.3531084847536565,153.0522685695684,0.040827936673505275,2.173344777686837,ok,2.027062961523859,ok
a000_i075,0.0,75,0.7,109.60222010523425,170.983971595515,142.01961344731734,1.7999264362372287,155.64943856916423,0.03360496700924755,2.2769120117199897,ok,1.990413595296053,ok
a000_i075,0.0,75,0.75,114.64070181587493,160.49491617996452,144.8126846015368,1.2624031162421623,158.24660856876005,0.02682819515284419,2.4226225637823244,ok,1.9256595130805338,ok
a000_i075,0.0,75,0.7999999999999999,119.6791835265156,138.82975072173323,147.60575575575626,0.7667990505512287,160.84377856835587,0.020760642949294417,2.5993894367438877,ok,1.8045828722869641,ok
a000_i075,0.0,75,0.85,124.71766523715628,102.39247218822611,150.39882690997572,0.3375839896737741,163.4409485679517,0.015745265150276543,2.8573770687266293,ok,1.5326373214748263,ok
a000_i075,0.0,75,0.9,129.756146947797,66.95721184850142,153.1918980641952,0.1018638935348825,166.03811856754754,0.010390329705675298,3.2440857600672235,ok,1.1413810037562255,ok
