geometry,spin,inclination_deg,deepest_detectable_age,shallowest_detectable_age,n_detectable_ages,right_censored,depth_report,arm,snr0,total_ages,age_grid_max,T_rec_best_mode,T_rec_best_mode_right_censored,T_rec_best_mode_report
a000_i050,0.0,50,64.0,0.0,17,False,64.0,DIRECT_PHYSICAL,3000.0,64,252.0,64.0,False,64.0
a000_i050,0.0,50,64.0,0.0,17,False,64.0,DIRECT_PHYSICAL,10000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,DIRECT_PHYSICAL,30000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,DIRECT_PHYSICAL,100000.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,68.0,0.0,18,False,68.0,DIRECT_PHYSICAL,1000000.0,64,252.0,72.0,False,72.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,RESOLVED_PHYSICAL,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,RESOLVED_PHYSICAL,3.0,64,252.0,48.0,False,48.0
a000_i050,0.0,50,48.0,0.0,13,False,48.0,RESOLVED_PHYSICAL,10.0,64,252.0,56.0,False,56.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,RESOLVED_PHYSICAL,30.0,64,252.0,72.0,False,72.0
a000_i050,0.0,50,84.0,0.0,22,False,84.0,RESOLVED_PHYSICAL,100.0,64,252.0,92.0,False,92.0
a000_i050,0.0,50,96.0,0.0,25,False,96.0,RESOLVED_PHYSICAL,300.0,64,252.0,100.0,False,100.0
a000_i050,0.0,50,100.0,0.0,26,False,100.0,RESOLVED_PHYSICAL,1000.0,64,252.0,112.0,False,112.0
a000_i050,0.0,50,116.0,0.0,30,False,116.0,RESOLVED_PHYSICAL,3000.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,120.0,0.0,31,False,120.0,RESOLVED_PHYSICAL,10000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,RESOLVED_PHYSICAL,30000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,RESOLVED_PHYSICAL,100000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,RESOLVED_PHYSICAL,1000000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,UNRESOLVED_IMAGE,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,UNRESOLVED_IMAGE,3.0,64,252.0,48.0,False,48.0
a000_i050,0.0,50,48.0,0.0,13,False,48.0,UNRESOLVED_IMAGE,10.0,64,252.0,56.0,False,56.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,UNRESOLVED_IMAGE,30.0,64,252.0,60.0,False,60.0
a000_i050,0.0,50,60.0,0.0,16,False,60.0,UNRESOLVED_IMAGE,100.0,64,252.0,64.0,False,64.0
a000_i050,0.0,50,64.0,0.0,17,False,64.0,UNRESOLVED_IMAGE,300.0,64,252.0,84.0,False,84.0
a000_i050,0.0,50,88.0,0.0,23,False,88.0,UNRESOLVED_IMAGE,1000.0,64,252.0,96.0,False,96.0
a000_i050,0.0,50,96.0,0.0,25,False,96.0,UNRESOLVED_IMAGE,3000.0,64,252.0,100.0,False,100.0
a000_i050,0.0,50,100.0,0.0,26,False,100.0,UNRESOLVED_IMAGE,10000.0,64,252.0,104.0,False,104.0
a000_i050,0.0,50,104.0,0.0,27,False,104.0,UNRESOLVED_IMAGE,30000.0,64,252.0,108.0,False,108.0
a000_i050,0.0,50,112.0,0.0,29,False,112.0,UNRESOLVED_IMAGE,100000.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,UNRESOLVED_IMAGE,1000000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,TOTAL_FLUX,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,TOTAL_FLUX,3.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,TOTAL_FLUX,10.0,64,252.0,52.0,False,52.0
a000_i050,0.0,50,52.0,0.0,14,False,52.0,TOTAL_FLUX,30.0,64,252.0,56.0,False,56.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,TOTAL_FLUX,100.0,64,252.0,68.0,False,68.0
a000_i050,0.0,50,76.0,0.0,20,False,76.0,TOTAL_FLUX,300.0,64,252.0,88.0,False,88.0
a000_i050,0.0,50,92.0,0.0,24,False,92.0,TOTAL_FLUX,1000.0,64,252.0,92.0,False,92.0
a000_i050,0.0,50,96.0,0.0,25,False,96.0,TOTAL_FLUX,3000.0,64,252.0,96.0,False,96.0
a000_i050,0.0,50,104.0,0.0,27,False,104.0,TOTAL_FLUX,10000.0,64,252.0,108.0,False,108.0
a000_i050,0.0,50,112.0,0.0,29,False,112.0,TOTAL_FLUX,30000.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,120.0,0.0,31,False,120.0,TOTAL_FLUX,100000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,TOTAL_FLUX,1000000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,DELAY_ONLY,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,DELAY_ONLY,3.0,64,252.0,48.0,False,48.0
a000_i050,0.0,50,48.0,0.0,13,False,48.0,DELAY_ONLY,10.0,64,252.0,56.0,False,56.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,DELAY_ONLY,30.0,64,252.0,80.0,False,80.0
a000_i050,0.0,50,84.0,0.0,22,False,84.0,DELAY_ONLY,100.0,64,252.0,96.0,False,96.0
a000_i050,0.0,50,96.0,0.0,25,False,96.0,DELAY_ONLY,300.0,64,252.0,104.0,False,104.0
a000_i050,0.0,50,100.0,0.0,26,False,100.0,DELAY_ONLY,1000.0,64,252.0,120.0,False,120.0
a000_i050,0.0,50,116.0,0.0,30,False,116.0,DELAY_ONLY,3000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,120.0,0.0,31,False,120.0,DELAY_ONLY,10000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,DELAY_ONLY,30000.0,64,252.0,124.0,False,124.0
a000_i050,0.0,50,124.0,0.0,32,False,124.0,DELAY_ONLY,100000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,128.0,0.0,33,False,128.0,DELAY_ONLY,1000000.0,64,252.0,128.0,False,128.0
a000_i050,0.0,50,-1.0,-1.0,0,False,none,SPATIAL_ONLY,1.0,64,252.0,-1.0,False,none
a000_i050,0.0,50,-1.0,-1.0,0,False,none,SPATIAL_ONLY,3.0,64,252.0,48.0,False,48.0
a000_i050,0.0,50,48.0,0.0,13,False,48.0,SPATIAL_ONLY,10.0,64,252.0,56.0,False,56.0
a000_i050,0.0,50,56.0,0.0,15,False,56.0,SPATIAL_ONLY,30.0,64,252.0,60.0,False,60.0
