source_class,arm,estimator,snr0,bank,family,index,selected_hyperparameter,old_band_structure_error,running_max_rel_at_age0
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,5,0.001,1.0285447596801247,0.8249177569016014
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,6,0.001,1.8495685598086884,0.6903403926215717
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,7,0.001,1.7982547184738629,0.8471557184906428
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,0,0.001,15.441507949926237,0.47145734976564424
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,1,0.001,10.895592225644519,0.4623968426633158
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,2,0.001,8.560684414114693,0.32652489167369525
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,3,0.001,15.308183173085443,0.5359595274494097
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,4,0.001,20.96181805843639,0.5779534748718798
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,5,0.001,22.381014026813066,0.21787743006871402
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,6,0.001,11.22526471620492,0.5185704775190607
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_single_hotspot,7,0.001,20.49964875536579,0.45661565474356197
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,0,0.001,8.797851014432583,0.7155030228757414
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,1,0.001,10.515179030029056,0.3774826674554859
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,2,0.001,8.309738413338255,0.363845639766584
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,3,0.001,7.245081861306113,0.24969969184150853
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,4,0.001,16.060358714686764,0.4283946972931187
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,5,0.001,12.398480863396028,0.5795758367313959
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,6,0.001,21.042052127466363,0.5966373808267807
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_two_hotspots,7,0.001,13.599403919192035,0.5558729477777417
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,0,0.001,7.277552952814693,0.34293496230379994
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,1,0.001,14.657859438113022,0.21469538079545872
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,2,0.001,9.894265952838976,0.596519608079763
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,3,0.001,13.502781925034533,0.21658505576398468
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,4,0.001,9.216751408361992,0.40311627810151085
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,5,0.001,8.69902152530323,0.49608931795612826
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,6,0.001,9.34355399622816,0.16267241294079188
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,circular_crescent,7,0.001,7.04427426379605,0.5183038370689665
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,0,0.001,27.713177070989552,0.8570754506272333
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,1,0.001,27.05161517863347,0.6030263234558702
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,2,0.001,35.12415856480094,0.8376750452312993
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,3,0.001,39.305797646065095,0.9093682178948452
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,4,0.001,25.457117647455743,0.6301530089128411
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,5,0.001,18.58848689101132,0.3991034007965838
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,6,0.001,23.539599078145425,0.5438645941460732
L224,DIRECT_PHYSICAL,TSVD,1000.0,constant_flux_structural,plunging_hotspot,7,0.001,23.809734917080714,0.5813651656184633
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,0,0.001,1.8096596454863085,0.3751642312653728
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,1,0.001,2.9825798316205265,0.7303521544714059
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,2,0.001,1.1825037851459332,0.7093050140531529
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,3,0.001,2.4070191116651922,0.5327116071709329
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,4,0.001,3.1082395230430575,0.21780001250145548
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,5,0.001,0.9479035910179283,0.5390272794457721
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,6,0.001,4.192473670810359,0.694488578792175
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_single_hotspot,7,0.001,0.3165739062483339,0.587363380921161
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,0,0.001,3.2016164076355325,0.526766971163602
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,1,0.001,3.6932291124718883,0.7946580613454435
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,2,0.001,4.19635978992473,0.2950357553867616
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,3,0.001,3.4031901629728245,0.5251119916584429
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,4,0.001,2.7478170428755666,0.5450044934659449
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,5,0.001,5.895067213152178,0.6634616162901976
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,6,0.001,4.021267407674406,0.5692792954629518
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_two_hotspots,7,0.001,2.389072708495573,0.5414063400760433
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,0,0.001,3.671358971042405,0.44802354131817945
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,1,0.001,3.6113901304639313,0.40887942583133874
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,2,0.001,4.556308088582645,0.41171622320673845
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,3,0.001,6.648697994424707,0.6589846979539549
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,4,0.001,4.080294308472912,0.49246934829665245
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,5,0.001,2.826189149973623,0.5809898890901128
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,6,0.001,3.540416253461539,0.40119601359926976
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,circular_crescent,7,0.001,3.425020229484094,0.5137893166642717
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,0,0.001,0.4774076740649493,0.8820030215278298
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,1,0.001,0.6576543324579522,0.6632696702192082
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,2,0.001,1.745380325830079,0.7657914990236684
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,3,0.001,0.8373421681586493,1.0259102470433112
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,4,0.001,0.9228783131540842,0.41709050301116823
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,5,0.001,1.0516665599788992,1.0952710323849946
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,6,0.001,1.8811272733710702,0.6993839865600988
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_050,plunging_hotspot,7,0.001,1.2445445856488098,0.6795686513684904
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,0,0.001,1.691913225469491,0.13091130712667226
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,1,0.001,4.379012135167769,0.7257783188356958
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,2,0.001,0.824059183866027,0.5998189216292056
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,3,0.001,3.533062505857724,0.1743447294219079
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,4,0.001,1.7703044929197107,0.2078185824735126
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,5,0.001,0.29441396289185007,0.4948027391405897
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,6,0.001,4.708110347440162,0.1387953294301551
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_single_hotspot,7,0.001,1.6404720756660451,0.2890261410257363
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,0,0.001,2.701165687370323,0.4706038966775086
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,1,0.001,2.6525851896476818,0.3703153478371729
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,2,0.001,3.559092794113557,0.45044999048014206
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,3,0.001,4.065629747243952,0.3535806165447991
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,4,0.001,2.52447173035197,0.6875246736123184
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,5,0.001,3.5229274913547153,0.18815395790882772
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,6,0.001,3.039130024330325,0.30036887370183857
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_two_hotspots,7,0.001,1.836945869974779,0.656417616189011
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,0,0.001,3.671786104864531,0.7158855127315406
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,1,0.001,5.112585570785017,0.49781962184998707
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,2,0.001,4.49149803512453,0.4650092515097161
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,3,0.001,4.633427773849329,0.326922084551509
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,4,0.001,4.3874828386213265,0.7375860387608016
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,5,0.001,2.636614663082902,0.38122268273442456
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,6,0.001,4.58738472255773,0.45122464691344166
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,circular_crescent,7,0.001,3.5997673306671993,0.4177161460589386
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,0,0.001,0.7317393759109507,0.4642330815408978
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,1,0.001,1.001756592451653,0.833419787467987
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,2,0.001,1.1261824359690729,0.7459106415045406
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,3,0.001,1.118935439162382,0.5330303080532874
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,4,0.001,0.9861477753920841,0.6098298135427132
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,5,0.001,1.0128333835820993,0.6588300252363368
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,6,0.001,1.8354116433256618,0.6294722865730586
L224,DIRECT_PHYSICAL,TSVD,1000.0,structure_balanced_080,plunging_hotspot,7,0.001,1.7796604882394989,0.8007051098048718
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,0,3.162277660168379e-07,14.604877967239997,0.3286091109083003
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,1,3.162277660168379e-07,10.713786387428915,0.3388170679527302
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,2,3.162277660168379e-07,8.376946994153244,0.23694415757851445
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,3,3.162277660168379e-07,14.999038938465025,0.39118079740504497
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,4,3.162277660168379e-07,20.065862089157065,0.4246231078733168
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,5,3.162277660168379e-07,22.392572012109568,0.17980647349631146
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,6,3.162277660168379e-07,11.085456334486818,0.3777758063156262
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_single_hotspot,7,3.162277660168379e-07,19.94197356872115,0.3591834916209112
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,constant_flux_structural,circular_two_hotspots,0,3.162277660168379e-07,8.698248892419397,0.669540049693693
