geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,UNRESOLVED_IMAGE,6.0,0.3064563085690356,2.2298980168938555e-09,True,67.37777366548048
a050_i050,L224,localized,UNRESOLVED_IMAGE,8.0,0.33969032987930436,9.682947485875007e-09,True,73.21189529388229
a050_i050,L224,localized,UNRESOLVED_IMAGE,10.0,0.37768364195434223,4.3884759489910163e-08,True,79.42970067856673
a050_i050,L224,localized,UNRESOLVED_IMAGE,12.0,0.4250383053056046,1.7469143690648802e-07,True,86.16766002546736
a050_i050,L224,localized,UNRESOLVED_IMAGE,14.0,0.4866021114736132,5.623321642101819e-07,True,92.76070016272787
a050_i050,L224,localized,UNRESOLVED_IMAGE,16.0,0.5466490136270001,1.5725974737224003e-06,True,98.13062219132152
a050_i050,L224,localized,UNRESOLVED_IMAGE,18.0,0.5885377437937116,3.8035204200236543e-06,True,101.57881820572186
a050_i050,L224,localized,UNRESOLVED_IMAGE,20.0,0.6133719102046518,4.991628931226719e-06,True,103.19085267671078
a050_i050,L224,localized,UNRESOLVED_IMAGE,22.0,0.6280211224827785,2.997069682225662e-06,True,103.67776787357134
a050_i050,L224,localized,UNRESOLVED_IMAGE,24.0,0.6360059901452344,1.6941041504465363e-06,True,103.5740154917901
a050_i050,L224,localized,UNRESOLVED_IMAGE,26.0,0.6390967551855051,9.386512328499606e-07,True,102.87527469513583
a050_i050,L224,localized,UNRESOLVED_IMAGE,28.0,0.6366285438236174,5.241788535528053e-07,True,101.38227759102021
a050_i050,L224,localized,UNRESOLVED_IMAGE,30.0,0.6248527364196139,2.6307982324361344e-07,True,98.9036443475433
a050_i050,L224,localized,UNRESOLVED_IMAGE,32.0,0.5990379984272554,1.1369005762881797e-07,True,95.26157313023523
a050_i050,L224,localized,UNRESOLVED_IMAGE,34.0,0.5554175846845206,4.459918267788597e-08,True,90.29460327708384
a050_i050,L224,localized,UNRESOLVED_IMAGE,36.0,0.4929004792623969,1.6839717174897282e-08,True,84.2052038289997
a050_i050,L224,localized,UNRESOLVED_IMAGE,38.0,0.415843688771,8.425690534908518e-09,True,76.9377311276551
a050_i050,L224,localized,UNRESOLVED_IMAGE,40.0,0.3392173900461267,5.246089464015405e-09,True,68.53264010825299
a050_i050,L224,localized,UNRESOLVED_IMAGE,42.0,0.27315355824644905,2.737219956368265e-09,True,59.522860503898805
a050_i050,L224,localized,UNRESOLVED_IMAGE,44.0,0.22009988131440467,1.8858882096349376e-09,True,51.012511654304966
a050_i050,L224,localized,UNRESOLVED_IMAGE,46.0,0.17801040946286045,2.31736755674556e-09,True,44.33307057054669
a050_i050,L224,localized,UNRESOLVED_IMAGE,48.0,0.14215198286729003,3.3890439079556194e-09,True,39.24181215912899
a050_i050,L224,localized,UNRESOLVED_IMAGE,50.0,0.11077633058261199,4.6907129269344185e-09,True,34.42780872892936
a050_i050,L224,localized,UNRESOLVED_IMAGE,52.0,0.0820796056698129,5.993079325207207e-09,True,29.50768351465167
a050_i050,L224,localized,UNRESOLVED_IMAGE,54.0,0.05507769905155591,7.156005333498885e-09,True,24.58608003126693
a050_i050,L224,localized,UNRESOLVED_IMAGE,56.0,0.03153894806563444,7.765240246028006e-09,True,19.690273293425065
a050_i050,L224,localized,UNRESOLVED_IMAGE,58.0,0.013706979051549906,7.2122458911374845e-09,True,14.662994354439514
a050_i050,L224,localized,UNRESOLVED_IMAGE,60.0,0.0037947325335671795,6.471372645220864e-09,True,9.429697092445595
a050_i050,L224,localized,UNRESOLVED_IMAGE,62.0,0.0005957807988950798,2.7653577430779592e-09,True,4.497697536968173
