source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L224,structure_balanced_080,circular_crescent,selection,2,0.2537461121587102,0.3509873194176698,1.2539719403178637
L224,structure_balanced_080,circular_crescent,selection,3,0.378687334574953,0.4827386948467829,2.5219239069729986
L224,structure_balanced_080,circular_crescent,selection,4,0.2406161822901261,0.3437241833691626,0.9106408342272605
L224,structure_balanced_080,circular_crescent,selection,5,0.2382731886229398,0.32051317708833865,0.9897701343893889
L224,structure_balanced_080,circular_crescent,selection,6,0.24399307906131754,0.2998806121948958,0.9308038173395601
L224,structure_balanced_080,circular_crescent,selection,7,0.25735281453137543,0.3340081040477334,1.0373666201636513
L224,structure_balanced_080,circular_single_hotspot,pilot,0,0.549263432989431,0.6697101618562512,0.8601732187374218
L224,structure_balanced_080,circular_single_hotspot,pilot,1,0.4382803493484546,0.5265559532777403,1.028136164735665
L224,structure_balanced_080,circular_single_hotspot,pilot,2,0.2818680284592792,0.3361988459092894,0.5534365885896358
L224,structure_balanced_080,circular_single_hotspot,pilot,3,0.26157230833230116,0.3079760631447671,0.5930013450421824
L224,structure_balanced_080,circular_single_hotspot,pilot,4,0.3958894583696735,0.4738856766115558,1.1402248457968256
L224,structure_balanced_080,circular_single_hotspot,pilot,5,0.29822145274899575,0.3569170988035031,0.5799401167742995
L224,structure_balanced_080,circular_single_hotspot,pilot,6,0.2939669328202808,0.33488457107564806,0.5553310538667167
L224,structure_balanced_080,circular_single_hotspot,pilot,7,0.38240224248309684,0.4534418086562579,1.3024628374526892
L224,structure_balanced_080,circular_single_hotspot,selection,0,0.5689362590790468,0.6949041289627778,1.271278501786008
L224,structure_balanced_080,circular_single_hotspot,selection,1,0.6020244318631046,0.7371750895485542,2.301761518985805
L224,structure_balanced_080,circular_single_hotspot,selection,2,0.3114960900287554,0.36618881772754075,1.1378538413155186
L224,structure_balanced_080,circular_single_hotspot,selection,3,0.2858273011643023,0.3405072101924663,0.6206786254711919
L224,structure_balanced_080,circular_single_hotspot,selection,4,0.6877117964658123,0.846228189582086,1.2483190013733356
L224,structure_balanced_080,circular_single_hotspot,selection,5,0.3020838234728946,0.34598785417174316,0.6824650800191003
L224,structure_balanced_080,circular_single_hotspot,selection,6,0.6932102621579334,0.8532118233377487,2.9603314208237554
L224,structure_balanced_080,circular_single_hotspot,selection,7,0.5620217518701999,0.6860514261336212,1.4487176454920117
L224,structure_balanced_080,circular_two_hotspots,pilot,0,0.3184399965456865,0.414612251455598,0.6900678701787104
L224,structure_balanced_080,circular_two_hotspots,pilot,1,0.33630599737156797,0.39222899170850034,1.6627092518909485
L224,structure_balanced_080,circular_two_hotspots,pilot,2,0.2682220916860019,0.3123427626198692,0.8493092832691886
L224,structure_balanced_080,circular_two_hotspots,pilot,3,0.26950362385457854,0.35291916192651634,1.1333652846479032
L224,structure_balanced_080,circular_two_hotspots,pilot,4,0.4736455637152939,0.5724382286095562,2.3388767504033874
L224,structure_balanced_080,circular_two_hotspots,pilot,5,0.3861224786900089,0.4667255442785078,1.4774718590436948
L224,structure_balanced_080,circular_two_hotspots,pilot,6,0.29418589654402877,0.35677611271951454,0.9913454718161409
L224,structure_balanced_080,circular_two_hotspots,pilot,7,0.33458567666584654,0.3904033205489051,1.1169035996316135
L224,structure_balanced_080,circular_two_hotspots,selection,0,0.24511872037223223,0.29968302815412146,1.0907865808353048
L224,structure_balanced_080,circular_two_hotspots,selection,1,0.4405150539345297,0.5531102403905637,1.4830247851977574
L224,structure_balanced_080,circular_two_hotspots,selection,2,0.697964374312624,0.8592446325468088,1.9225349798467166
L224,structure_balanced_080,circular_two_hotspots,selection,3,0.2886046544900111,0.3367289245815213,1.6540141502226327
L224,structure_balanced_080,circular_two_hotspots,selection,4,0.3518874403579738,0.46102126305531504,2.857837584468625
L224,structure_balanced_080,circular_two_hotspots,selection,5,0.33499576615654947,0.3904716514210129,0.881478465217023
L224,structure_balanced_080,circular_two_hotspots,selection,6,0.29484420107676484,0.41621839687632745,1.2384302899393393
L224,structure_balanced_080,circular_two_hotspots,selection,7,0.598458240614306,0.7326224708612002,0.8095928106131753
L224,structure_balanced_080,plunging_hotspot,pilot,0,0.6894465689523296,0.8484317906601423,1.0378938386287533
