snr0,gamma,tau,threshold,n_max,temporal_depth
25955.293333801626,0.4,1.0,5.0,21,21.0
27499.8638665022,0.4,1.0,5.0,21,21.0
29136.35006741761,0.4,1.0,5.0,21,21.0
30870.221735358806,0.4,1.0,5.0,21,21.0
32707.274170758283,0.4,1.0,5.0,21,21.0
34653.647545907974,0.4,1.0,5.0,22,22.0
36715.84742789873,0.4,1.0,5.0,22,22.0
38900.76652285693,0.4,1.0,5.0,22,22.0
41215.707714156175,0.4,1.0,5.0,22,22.0
43668.40847160745,0.4,1.0,5.0,22,22.0
46267.06671321315,0.4,1.0,5.0,22,22.0
49020.36820592464,0.4,1.0,5.0,22,22.0
51937.515596988764,0.4,1.0,5.0,23,23.0
55028.2591729173,0.4,1.0,5.0,23,23.0
58302.9294488879,0.4,1.0,5.0,23,23.0
61772.47169750507,0.4,1.0,5.0,23,23.0
65448.4825323274,0.4,1.0,5.0,23,23.0
69343.24866844159,0.4,1.0,5.0,23,23.0
73469.78798963352,0.4,1.0,5.0,23,23.0
77841.89305942143,0.4,1.0,5.0,24,24.0
82474.17722138224,0.4,1.0,5.0,24,24.0
87382.1234428559,0.4,1.0,5.0,24,24.0
92582.13606528599,0.4,1.0,5.0,24,24.0
98091.59563416272,0.4,1.0,5.0,24,24.0
103928.91699183728,0.4,1.0,5.0,24,24.0
110113.61082737267,0.4,1.0,5.0,24,24.0
116666.34888915876,0.4,1.0,5.0,25,25.0
123609.03307825576,0.4,1.0,5.0,25,25.0
130964.86865340779,0.4,1.0,5.0,25,25.0
138758.44179240317,0.4,1.0,5.0,25,25.0
147015.80176902426,0.4,1.0,5.0,25,25.0
155764.54802025857,0.4,1.0,5.0,25,25.0
165033.92239477986,0.4,1.0,5.0,26,26.0
174854.90689103308,0.4,1.0,5.0,26,26.0
185260.32721160684,0.4,1.0,5.0,26,26.0
196284.96248000753,0.4,1.0,5.0,26,26.0
207965.6614865582,0.4,1.0,5.0,26,26.0
220341.46585195902,0.4,1.0,5.0,26,26.0
233453.74052017744,0.4,1.0,5.0,26,26.0
247346.3120168214,0.4,1.0,5.0,27,27.0
262065.61493511315,0.4,1.0,5.0,27,27.0
277660.8471390847,0.4,1.0,5.0,27,27.0
294184.13420273777,0.4,1.0,5.0,27,27.0
311690.7036347938,0.4,1.0,5.0,27,27.0
330239.06947137037,0.4,1.0,5.0,27,27.0
349891.22785355523,0.4,1.0,5.0,27,27.0
370712.8642435874,0.4,1.0,5.0,28,28.0
392773.5729722376,0.4,1.0,5.0,28,28.0
416147.0898512156,0.4,1.0,5.0,28,28.0
440911.53862807574,0.4,1.0,5.0,28,28.0
467149.6921073779,0.4,1.0,5.0,28,28.0
494949.248810886,0.4,1.0,5.0,28,28.0
524403.126101497,0.4,1.0,5.0,28,28.0
555609.7707506483,0.4,1.0,5.0,29,29.0
588673.487987254,0.4,1.0,5.0,29,29.0
623704.7901279647,0.4,1.0,5.0,29,29.0
660820.7659540328,0.4,1.0,5.0,29,29.0
700145.4720693739,0.4,1.0,5.0,29,29.0
741810.347547924,0.4,1.0,5.0,29,29.0
785954.6532561855,0.4,1.0,5.0,29,29.0
832725.9373193656,0.4,1.0,5.0,30,30.0
882280.5282869018,0.4,1.0,5.0,30,30.0
934784.0576457008,0.4,1.0,5.0,30,30.0
990412.013427557,0.4,1.0,5.0,30,30.0
1049350.3267611472,0.4,1.0,5.0,30,30.0
1111795.9933290617,0.4,1.0,5.0,30,30.0
1177957.7318070591,0.4,1.0,5.0,30,30.0
1248056.681486296,0.4,1.0,5.0,31,31.0
1322327.1414102968,0.4,1.0,5.0,31,31.0
