family,index,regime,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
circular_hotspot_trajectory,7,joint_inversion,0.030523680582631007,0.11657086970707398,-8.370908133326083e-16,0.3122695400680966,0.0,0.0
circular_hotspot_trajectory,8,joint_inversion,0.01517132561013646,0.0451349031368935,-6.813993813636898e-16,0.3416134936052766,0.0,0.0
circular_hotspot_trajectory,9,joint_inversion,0.014775429696406064,0.038798133294431936,-6.645725636467148e-16,0.2335446984708136,0.0,0.0
circular_hotspot_trajectory,10,joint_inversion,0.01922190302682656,0.07581312220167535,-6.744604874597826e-16,0.3038681743788232,0.0,0.0
circular_hotspot_trajectory,11,joint_inversion,0.01555816769079874,0.06773083294592275,-5.490833482335588e-16,0.3367724235149321,0.0,0.0
circular_hotspot_trajectory,12,joint_inversion,0.01955855970902087,0.08129198485370015,-7.430688009346654e-16,0.33197244752318916,0.0,0.0
circular_hotspot_trajectory,13,joint_inversion,0.012542302297420566,0.042773439635359845,-6.444497713253838e-16,0.21151153527909874,0.0,0.0
circular_hotspot_trajectory,14,joint_inversion,0.03612936330978252,0.16191884317017147,-1.908195823574488e-18,0.373410099860566,0.0,0.0
circular_hotspot_trajectory,15,joint_inversion,0.02245128824609371,0.11497483816724685,-1.391421700080997e-15,0.3045585353963145,0.0,0.0
flare_birth_motion_decay,0,joint_inversion,0.012422228221942474,0.05614887550186398,-1.3721662694976543e-16,0.39558055231068817,0.0,0.0
flare_birth_motion_decay,1,joint_inversion,0.008631850249871797,0.032984211271543495,-7.10109054891106e-16,0.27877490627895857,0.0,0.0
flare_birth_motion_decay,2,joint_inversion,0.016817971088058194,0.03422791259559632,-8.479328350574633e-16,0.24733147613131812,0.0,0.0
flare_birth_motion_decay,3,joint_inversion,0.01609935017577714,0.07047420681610306,-9.634654185575186e-16,0.47160228653409625,0.0,0.0
flare_birth_motion_decay,4,joint_inversion,0.057743629975441885,0.16552652200216866,-4.0783348920214734e-16,0.30197202795034994,0.0,0.0
flare_birth_motion_decay,5,joint_inversion,0.013086263846960539,0.02805999653924196,-5.41667405373758e-16,0.2163580144814016,0.0,0.0
flare_birth_motion_decay,6,joint_inversion,0.012856487650599381,0.042225912148276645,-7.020425907278138e-16,0.30142144643029883,0.0,0.0
flare_birth_motion_decay,7,joint_inversion,0.01241635081423154,0.021078596138699446,-7.124509315836747e-16,0.3747624591181674,0.0,0.0
flare_birth_motion_decay,8,joint_inversion,0.010666365760980857,0.031010642482121265,-1.927711462679227e-16,0.31579412016470293,0.0,0.0
flare_birth_motion_decay,9,joint_inversion,0.007234760425163838,0.015101417180374943,-1.6028844918025699e-16,0.28041821119838534,0.0,0.0
flare_birth_motion_decay,10,joint_inversion,0.017654559708080594,0.03030800530760125,-6.734196533741965e-16,0.22894071067222163,0.0,0.0
flare_birth_motion_decay,11,joint_inversion,0.01983475069617647,0.07614242825944695,-1.810444155703195e-15,0.23783639108894739,0.0,0.0
flare_birth_motion_decay,12,joint_inversion,0.009398503763711395,0.031787294776405295,-5.882447307037353e-16,0.3022760751873686,0.0,0.0
flare_birth_motion_decay,13,joint_inversion,0.011838056873609396,0.020298992335509913,-5.499940780584467e-16,0.20108430386187018,0.0,0.0
flare_birth_motion_decay,14,joint_inversion,0.009715220794113435,0.04821554797286076,-6.0394397816132535e-16,0.30528508188913644,0.0,0.0
flare_birth_motion_decay,15,joint_inversion,0.019463800964085922,0.08881807670796249,-2.563921297493721e-16,0.3334732356269023,0.0,0.0
m1_rotating_crescent,0,joint_inversion,0.01003957052645704,0.01673678355937236,-5.137383574105314e-16,0.2550428401695238,0.0,0.0
m1_rotating_crescent,1,joint_inversion,0.009911019258886255,0.02724312190824918,-7.57380269611474e-16,0.3117421353878674,0.0,0.0
m1_rotating_crescent,2,joint_inversion,0.015351981210217308,0.023459106304607458,-4.2891037943526555e-16,0.22411416999564981,0.0,0.0
m1_rotating_crescent,3,joint_inversion,0.020253905228691457,0.061860895647849246,-8.878314750049299e-16,0.21343561011162981,0.0,0.0
m1_rotating_crescent,4,joint_inversion,0.05583859404179283,0.2170246655073218,-6.369904603786835e-16,0.3612703700784667,0.0,0.0
m1_rotating_crescent,5,joint_inversion,0.008556643384883584,0.026884361520459255,-1.090360440825222e-15,0.4011482054171792,0.0,0.0
m1_rotating_crescent,6,joint_inversion,0.012536160566017312,0.026859233421159256,-6.046378675517161e-16,0.20832540019711943,0.0,0.0
m1_rotating_crescent,7,joint_inversion,0.013994349965197935,0.042738828044027954,-8.708311849403572e-16,0.2093091879422892,0.0,0.0
m1_rotating_crescent,8,joint_inversion,0.013959579988958365,0.02713260067144252,-5.108760636751697e-16,0.3112315957213856,0.0,0.0
m1_rotating_crescent,9,joint_inversion,0.02261604714931701,0.0621025096262009,-2.6862193025500857e-16,0.21223936736351387,0.0,0.0
