class,arm,estimator,snr0,family,index,target,age_M,state,measure,error
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,54.0,SINGLE_RESOLVED,assignment,0.568394112888133
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,56.0,SINGLE_RESOLVED,assignment,0.568394112888133
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,58.0,SINGLE_RESOLVED,assignment,0.568394112888133
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,60.0,SINGLE_RESOLVED,assignment,0.568394112888133
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,62.0,SINGLE_RESOLVED,assignment,0.712262741925422
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,64.0,SINGLE_RESOLVED,assignment,0.712262741925422
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,66.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,68.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,70.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,72.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,74.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,76.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,78.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,80.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,82.0,SINGLE_RESOLVED,assignment,1.0
